,Ai,TOPSIS,VIKOR,COMET
0,$A_{1}$,9,14,9
1,$A_{2}$,25,25,25
2,$A_{3}$,13,10,14
3,$A_{4}$,5,4,5
4,$A_{5}$,12,12,10
5,$A_{6}$,3,3,3
6,$A_{7}$,4,5,4
7,$A_{8}$,21,17,21
8,$A_{9}$,8,13,7
9,$A_{10}$,7,7,8
10,$A_{11}$,24,23,24
11,$A_{12}$,19,21,19
12,$A_{13}$,22,24,22
13,$A_{14}$,11,9,13
14,$A_{15}$,10,15,12
15,$A_{16}$,14,8,11
16,$A_{17}$,15,18,15
17,$A_{18}$,6,6,6
18,$A_{19}$,23,22,23
19,$A_{20}$,20,19,20
20,$A_{21}$,26,26,26
21,$A_{22}$,18,16,18
22,$A_{23}$,16,11,17
23,$A_{24}$,1,1,1
24,$A_{25}$,2,2,2
25,$A_{26}$,17,20,16
