TIME,2012,2013,2014,2015,2016,2017,2018,2019,2020
Belgium,14.5,19.4,16.2,16.1,13.3,12.4,12.3,13.3,10.8
Bulgaria,26.9,25.8,26.8,26.3,25,23.6,21.8,20.2,19.1
Czechia,13.2,13.9,13.5,12,11.7,9.3,7.9,7.8,6.1
Denmark,9.9,9.2,9.1,7.7,8.4,7.8,7.4,7.5,7.3
Germany (until 1990 former territory of the FRG),12.5,13.5,13.1,13.8,14.1,14.2,13.3,13.1,8.2
Estonia,15.7,12.3,12.3,11.8,9.2,7.3,7.4,7.4,5.5
Ireland,10.7,11.9,10.9,10.9,9.7,9.7,10.0,8.8,:
Greece,20.1,19,16.1,12.8,11.8,13.8,13.5,16.9,18.2
Spain,10.1,14.2,11.9,10,10.3,8.7,10.9,11.6,14.1
France,14.7,16.8,15.3,14.2,14.8,13.9,14.9,14.7,17.6
Croatia,3.2,2.9,2.5,2.8,3,3,2.6,2.7,2.4
Italy,14.9,16,18,19.4,14.7,12.5,11.3,9.4,:
Cyprus,15.5,15.3,11.9,12,9.8,12.5,13.9,12.7,10.4
Latvia,17,12,13,11.8,10,8,8.6,6.1,5.3
Lithuania,5,6.4,4.8,4.6,3.4,8.2,3.7,3.2,3.3
Luxembourg,14.4,12.9,16.8,14.9,12.2,12,11.3,11.2,11
Hungary,10.4,12.6,13.9,10.6,9.7,7.2,4.8,5.3,5.3
Malta,12.6,12.9,12.2,11,10.4,10,12.5,13.6,11.4
Netherlands,18.3,18.1,18.5,17.4,16.9,15,17.5,16.3,15.7
Austria,11.7,11.3,13.4,12.9,12.4,10.9,9.7,8.4,5.7
Poland,6.3,6.4,6.4,5.8,5.6,5.4,4.8,4.4,:
Portugal,10.9,13.3,11.6,10.5,7.8,7.9,6.5,6.7,6.6
Romania,13.7,15.7,14.5,13.1,14.1,11.3,11.5,9.6,8.8
Slovenia,8.1,9.1,10.1,9.2,8.5,8,7.9,8,7.3
Slovakia,9.6,8.9,8.7,7.3,6.9,6.2,4.8,5.6,4.3
Finland,8.6,9,7,7.3,6.5,6.2,7.0,6.4,7
Sweden,10.6,10.1,10.7,10.9,12.7,13,14.4,13,13.8
Iceland,3.4,2.2,2.1,2.2,2.2,2,2.8,:,:
Norway,6,4.6,4,5.7,4.6,3.8,4.2,4,4.1
Switzerland,16.5,14.5,14.7,11.9,10.9,9.1,7.9,7.1,:
United Kingdom,19.7,17.4,16.5,16.6,16.8,20.3,24.2,:,:
