TIME,2012,2013,2014,2015,2016,2017,2018,2019
Belgium,53.4,52.8,53.8,53.5,53.5,53.9,54.4,54.7
Bulgaria,25,28.5,23.1,29.4,31.8,34.6,31.5,:
Czechia,23.2,24.2,25.4,29.7,33.6,32,32.2,33.3
Denmark,42.5,43.3,45.4,47.4,48.3,47.6,49.9,51.5
Germany (until 1990 former territory of the FRG),65.2,63.8,65.6,66.7,67.1,67.2,67.1,66.7
Estonia,19.1,17.9,31.3,28.3,28.1,28.4,28,30.8
Ireland,36.6,:,39.8,:,40.7,40.4,37.6,:
Greece,17,15.8,15.4,15.8,17.2,18.9,20.1,21
Spain,29.8,32.5,30.8,30,33.9,36.1,34.8,34.7
France,37.7,38.7,39.7,40.7,42.9,44.1,45.1,46.3
Croatia,14.7,14.9,16.5,18,21,23.6,25.3,30.2
Italy,38.4,39.4,41.6,44.3,45.9,47.8,49.8,51.4
Cyprus,12.5,13.9,14.8,16.6,16.1,16.2,16.5,15
Latvia,14.7,25.9,27,28.7,25.2,24.8,25.2,41
Lithuania,23.5,27.8,30.5,33.1,48,48.1,52.5,49.7
Luxembourg,47.4,46.6,47.7,47.4,49.2,48.7,49,48.9
Hungary,25.5,26.4,30.5,32.2,34.7,35,37.4,35.9
Malta,9.7,8.5,7.4,10.9,12.3,10.9,10,8.9
Netherlands,49.4,49.8,50.9,51.8,53.5,54.6,55.9,56.9
Austria,57.7,57.7,56.3,56.9,57.6,57.7,57.7,58.2
Poland,12,15.1,26.5,32.5,34.8,33.8,34.3,34.1
Portugal,26.1,25.8,30.4,29.8,30.9,29.1,29.1,28.9
Romania,14.8,13.2,13.1,13.2,13.4,14,11.1,11.5
Slovenia,41.9,34.8,36,54.1,55.6,57.8,58.9,59.2
Slovakia,13.4,10.8,10.3,14.9,23,29.8,36.3,38.5
Finland,33.3,32.5,32.5,40.6,42,40.5,42.3,43.5
Sweden,46.9,48.2,49.3,47.5,48.4,46.8,45.8,46.6
Iceland,28,29.9,29.7,0,0,0,0,:
Norway,39.8,39.2,42.2,42.8,38.2,38.8,40.7,40.9
Switzerland,50,51,53.5,52.7,52.5,52.5,52.5,53
United Kingdom,42.6,43.2,43.4,43.3,44,43.8,44.1,:
