TIME,2012,2013,2014,2015,2016,2017,2018
Belgium,74.94,76.42,78.24,80.46,81.93,82.96,:
Bulgaria,53.9,54.54,54.77,60.63,61.84,63.19,63.72
Czechia,78,79.8,79.8,80.7,81.2,82.3,82.3
Denmark,88.8,90.5,91.5,91.3,92,92.8,92.9
Germany (until 1990 former territory of the FRG),95.409,95.352,95.559,95.766,95.974,:,:
Estonia,86.2,87.1,88,87.61,87.79,87.87,:
Ireland,58.78,59.38,59.98,60.56,61.15,61.15,:
Greece,92.03,92.9,92.9,93.4,93.4,:,:
Spain,88.7,:,84.68,:,86.62,:,:
France,80.1,80.5,78.6,80.2,80.1,79.8,79.3
Croatia,36.9,36.9,36.9,36.9,36.9,36.9,36.9
Italy,57.6,:,:,59.6,:,:,:
Cyprus,:,:,:,:,:,:,:
Latvia,81.66,83.41,85.1,90.29,91.62,94.95,98.69
Lithuania,63.055,64.263,69.39,72.282,73.529,73.78,75.8
Luxembourg,96.1,96.3,96.6,96.6,96.9,97,:
Hungary,72.8,72.68,73.5,76.47,78.1,79.119,80.36
Malta,91.9,91.75,91.55,0,14.46,14.86,0
Netherlands,99.5,99.4,99.4,99.43,99.45,99.5,99.5
Austria,94.5,:,95,:,99.75,:,99.78
Poland,68.5,70.2,71.4,72.6,73.4,73.5,74
Portugal,:,:,:,:,:,84.64,:
Romania,35.3,36.1,38.2,39.7,43.8,46.5,48.1
Slovenia,53.7,55.2,55.6,57.4,63.3,67.4,68.9
Slovakia,:,:,:,:,63.6,65,65.7
Finland,83,83,85,:,:,:,85
Sweden,95,95,95,95,95,95,:
Iceland,:,:,:,:,:,:,:
Norway,52.6,52.7,52.7,53.4,57,60.8,66.9
Switzerland,:,98,:,:,:,:,:
United Kingdom,:,:,100,:,:,:,:
