TIME,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,
GEO (Labels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,,:,,:,,:,,:,,:,,:,,:,,19.7,,18.8,,18.8,,18.4,,18,,17.9,,17.5,e,18.3,e,17.5,e,:,
European Union - 27 countries (from 2020),:,,:,,:,,:,,:,,:,,:,,20.6,e,19.7,e,18.9,e,19.1,e,18.5,e,18.3,e,18.1,e,17.5,e,18.2,e,17.3,e,:,
European Union - 28 countries (2013-2020),:,,:,,:,,:,,:,,:,,:,,20.5,,19.7,,18.8,,18.8,,18.4,,18,,17.9,,17.5,e,18.3,e,17.5,e,:,
European Union - 27 countries (2007-2013),:,,:,,:,,:,,23,,21.9,,22.2,,20.6,,19.8,,18.9,,18.9,,18.5,,18.1,,18,,17.5,e,18.4,e,17.4,e,:,
Euro area - 19 countries  (from 2015),:,,:,,24.4,,24.6,,24.1,,22.8,,22.9,,21.3,,20.7,,19.8,,20,,19.5,,19.5,,19.1,,18.5,,19.2,,18.3,,:,
Euro area - 18 countries (2014),:,,:,,24.4,,24.7,,24.2,,22.8,,23,,21.4,,20.7,,19.9,,20.1,,19.6,,19.5,,19.2,,18.5,,19.3,,18.4,,:,
Belgium,25,,24.9,,23.3,,22.5,,22.9,,21,,19.4,,18.9,,19.7,,17.4,,17.5,,18.1,,18,,15.8,,15.6,,17.7,,16,b,14.5,b
Bulgaria,:,,:,,17.7,,17.7,,15.9,,16.9,,16.2,,12.9,,12.2,,12,,11.1,,11.7,,9.7,,10,b,9.8,,9.4,,8.9,,8.8,
Czechia,:,,:,,21.3,,18.8,,18.4,,17.6,,18.7,,16.5,,15.3,,14.3,,14.9,,13.7,,13.9,,14.5,,13.6,,14.6,,14,,13.3,
Denmark,14.4,,19.2,,17.8,,18.4,,19.9,,18.4,,19.4,,18.7,,18.6,,17.1,,15.6,,16.4,,16.5,,18.3,,18.8,,18.2,,20.1,,18.2,
Germany (until 1990 former territory of the FRG),:,,:,,25.3,,28.9,,27.1,,26.3,,25.8,,25.7,,25.8,,26.1,,26.1,,25.9,,25.8,,25.1,,26.1,,27.8,,26.1,,21.5,bu
Estonia,:,,50.2,,21.4,,22.4,,22.8,,18,,12.7,b,11,,12.7,,12.8,,10.8,,10.5,b,9.4,,10.4,,8.2,,8.6,,8.2,,8,
Ireland,13.8,,12.2,,11.6,,14.5,,13,,12,,10.4,,9.5,,9.3,,9,,9.4,,9,,8.2,,7.7,,9,,9.4,,8.2,,:,
Greece,20.5,,18.5,,20.2,,19.9,,21.7,,22.3,,23.5,,23.2,,25.1,,25.1,,24.2,,19.7,,19.2,,19.9,,20.1,,19.3,,19.7,,19.8,
Spain,:,,24.9,,28.6,,26.5,,25.6,,22,,22.4,b,18.4,,15.6,,15,,18.3,,15.9,,15.7,,16.2,,15.2,,17,,14.1,,21.9,
France,:,,23.5,,20.1,,19.5,,19,,17.8,,18.9,,18.5,,18.5,,17,,16.2,,16.9,,16.4,,17.7,,16.8,,18.2,,17.3,,20.5,p
Croatia,:,,:,,:,,:,,:,,:,,:,,12.2,,11,,10.1,,10,,8.9,,8.3,,8.5,,8.6,,8,,8.2,,8.1,
Italy,:,,26.8,,25.4,,25,,25.2,,24.3,,26.1,,22.3,,20.8,,17.9,,18.1,,17.6,,18.3,,16.2,,12.5,,10.9,,11.9,,:,
Cyprus,:,,:,,32.3,,36,,36.8,,29.7,b,30.6,,29,,27.5,,25.7,,26.2,,19.2,,17.2,,15.6,,16.9,,19.6,,15.4,,14,
Latvia,:,,:,,21.3,,21.4,,20.4,,20.6,,19.3,,17.5,,15.9,,15.4,,14.8,,15.3,,14.6,,13.3,,14.1,,13.7,,13.1,,12.5,p
Lithuania,:,,:,,19.8,,20,,18.5,,16.4,,15.7,,13.8,,13.9,,13.3,,14.1,,14.4,,15.4,,13.4,,13.2,,14.8,,13.3,,14.7,
Luxembourg,26.1,,25.3,,25.2,,22.5,,22,,20,,21.2,,16.7,,14.6,,17,,18.5,,19.1,,20.1,,19.7,b,21.6,,19.3,,20.2,,19.7,b
Hungary,:,,:,,21.5,,17.1,,14.8,,12.2,,13.2,,11.4,,9.9,,10.1,,12.8,,13.8,,13.7,,12.2,,11,,8.5,,9.7,,9.3,
Malta,:,,:,,23.9,,25.9,,24.1,,24.5,,28.2,,27.5,,30.1,,29.7,,31,,30.6,,24.6,,26.2,,24.9,,28.2,,28.3,,30.8,
Netherlands,:,,:,,33.1,,31.3,,32.1,,29.3,,25.3,b,23.6,,23.6,,24.2,,24.1,,25,,24.7,,24.9,b,25.6,,27.1,,26.6,,25.6,p
Austria,20.3,,21.4,,20.4,,18.7,,19.8,,21.6,b,20.9,,21,,19.2,,19.5,,18.9,,17.5,,17.5,,17.3,,17.9,,17.5,,19.5,,16.8,
Poland,:,,:,,21.4,,19.7,,19.3,,18.7,,17.7,,16.2,b,14.5,,14.2,,14,,13.4,,12.4,,13,,12.4,,13.8,,12.6,,:,
Portugal,:,,24.7,,25.9,,25.3,,27.5,,24.2,,23.9,,22.9,,23.1,,23.8,,22.7,,23.6,,23,,23.1,,23.5,,23,,22.7,,25.1,
