TIME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
GEO (Labels),,,,,,,,,,,,,,,,,,,,
European Union - 27 countries (from 2020),14.5,16.6,15.2,15.3,17.9,16.2,18.5,17.1,18.1,18.5,18.9,19.4,17.5,16.4,15.7,15.8,14.6,14.9,14.5,12.6
European Union - 28 countries (2013-2020),14.4,14.4,14.6,14.9,16.8,15.5,17.7,16.6,17.5,17.4,18.1,18.4,16.8,15.8,15.2,14.8,13.9,14.1,13.8,:
Belgium,14.5,14.3,14.5,15.2,13.3,15,18.5,21.1,18.6,18.9,17.7,17.7,16.1,16.7,14.4,13.5,13.3,12.8,12.8,11.1
Bulgaria,:,:,:,:,:,:,44.7,41.2,41.5,24.7,31.1,41.3,29.3,26.3,26.1,25,20.2,23.8,20.1,19.6
Czechia,:,:,:,:,23.8,26.1,25,18,19.3,20.3,22.8,21,19.2,20.2,19.1,17.4,18.1,18.4,19.5,14.4
Denmark,:,:,:,:,9.7,10.8,11.7,10.3,10.8,10.2,11,16.3,11.1,10.3,12.4,11.3,10,9.2,12,10
Germany (until 1990 former territory of the FRG),:,:,:,17.7,13,15.6,17.1,15.3,16.1,16.7,17.4,17.1,14.3,14.6,15.1,13.4,12.9,12.8,13.1,10.9
Estonia,:,:,:,:,:,:,:,10.9,5.4,6.2,7.6,6.9,7.8,8.1,8.6,6.7,5.4,5.3,6.3,4.8
Ireland,:,:,:,:,:,:,:,:,:,11.1,11.8,:,:,11.1,9.5,8,8.9,8,8.8,8.8
Greece,:,:,:,:,:,28.6,:,26.2,24.3,20,:,17,18.4,10,:,16.4,14.7,13.5,13.4,14.1
Spain,:,:,:,:,14.1,13.2,20.7,13.1,14.2,15.2,12.4,12.9,13.7,10.7,11.3,13,11.3,12.1,11.7,11.8
France,:,20.7,15.8,15.6,13.4,13.5,13.6,12.9,15.5,18.1,18.3,17.8,16,15.8,12.6,13.5,12.7,12,11.7,10.4
Croatia,:,:,:,:,:,:,:,:,:,:,:,:,:,21.9,20,21.9,20.6,19,20.3,16
Italy,:,:,:,:,51.4,:,30.8,28.8,25.1,25.1,23.4,26.8,23,20.1,17.6,22,19.3,19.2,16,15.1
Cyprus,:,:,:,:,:,:,:,:,:,21.5,22.2,23.2,24.3,17,17.2,17.2,14.7,14.7,13.2,13.4
Latvia,:,:,:,:,:,:,:,:,19.4,15.8,:,:,17.3,16.8,18.3,15.9,15.4,13.6,16.1,12.1
Lithuania,:,:,:,:,:,:,:,:,:,:,:,:,:,12.1,11.9,10.9,9.3,8.6,8.5,11.1
Luxembourg,:,:,:,:,:,:,:,:,:,18.9,16,13.7,12.2,16.3,11.5,11.7,14.4,13.2,11.1,10.2
Hungary,:,:,:,:,:,:,:,:,:,16,22.3,26.5,23.4,17.3,20.2,:,:,20.9,17.7,14.4
Malta,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Netherlands,:,:,:,:,:,:,:,:,16.3,16.7,17.1,16.8,13.5,14,13.9,12.7,11.2,11.3,11.8,10.4
Austria,:,:,:,:,:,23.8,25,23.1,19.9,17.9,19.9,19,16.2,17.3,14.9,14.5,13.1,14.1,15.5,12
Poland,:,:,:,:,:,23.8,22,:,33.5,30,30.5,27.6,27,25.5,26.1,23.8,23.3,24.1,24.3,19.3
Portugal,:,:,:,:,15.4,15.3,13.6,14.7,10.7,10.8,8.8,10.7,9.2,5.5,10,10.3,10.1,12,10.8,9.1
Romania,:,:,:,:,:,:,:,:,:,19,19.1,19.5,19.4,15.5,13.9,17.1,17.2,20.4,20,16.4
Slovenia,:,:,:,:,:,:,:,:,23.9,18.7,21.8,24.1,20.4,20.1,17.5,21.6,21.6,19.7,18.3,15.3
Slovakia,:,:,:,22.8,:,:,33.3,26.4,25.1,27.2,22.8,26.7,22.7,:,18,19,14.7,17.5,16.9,13.8
Finland,:,8.2,8.8,8.8,7.6,8.3,9.8,8.8,8.4,7.6,8.4,7.5,7,6.7,8.4,6,5.7,4.9,6.4,5.1
Sweden,:,:,:,:,10.7,11.1,11.7,9.5,9.2,7.2,7.4,7.8,6,5.2,7.4,6.1,5.6,5.4,6.2,5.8
Iceland,:,:,:,7.6,9.5,7.7,:,:,:,6,7.7,4.7,4.6,7,:,7.4,5,6.2,6.2,5.9
Norway,:,:,:,:,9.1,9.5,10,:,8.1,8.2,11.2,10.2,9.5,9.2,8.5,7.6,7.9,7,6.1,6.5
Switzerland,17.2,18.1,19.5,22.6,18.6,18.5,18.1,15.6,14.3,14.6,:,:,:,:,:,11.3,10.1,10,11.1,9.2
United Kingdom,14.3,13.1,13.7,14.1,12.5,12.8,14,14.2,12.9,13.2,13.6,14.6,13.2,12.9,12.8,10,10.4,9.9,10.1,10.2
,,,,,,,,,,,,,,,,,,,,
Special value,,,,,,,,,,,,,,,,,,,,
:,not available,,,,,,,,,,,,,,,,,,,
