TIME,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,
GEO (Labels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Union - 27 countries (from 2020),27.3,s,28.7,s,30.4,s,31.1,s,31.8,s,32.5,s,33.2,s,35.2,,36.5,,37.3,,38,,38.9,,40.9,,41.5,,43.4,,44.9,,46.5,,46.9,,47.2,,47.7,s
European Union - 28 countries (2013-2020),25.2,s,26.4,s,28.2,s,29.3,s,30.5,s,31.7,s,32.8,s,35,,36.5,,37.4,,38.3,,39.3,,41.1,,41.7,,43.4,,44.7,,46.2,,46.5,,46.8,,:,
Belgium,49.7,,50.4,,51.5,,52.9,,53.5,,55.6,,56.2,,56.8,,52.7,,53.9,,54.8,,54.4,,53.4,,52.8,,53.8,,53.5,,53.5,,53.9,,54.4,,54.7,
Bulgaria,15.5,e,16.1,e,16.3,e,16.5,e,17.2,be,18.3,de,19.1,de,20.6,de,19.4,e,19.9,e,24.5,,26.2,,25,,28.5,,23.1,,29.4,,31.8,,34.6,,31.5,,:,
Czechia,0.9,,0.9,b,0.9,,0.9,,5.5,be,6.2,e,7.4,e,10.1,e,10.4,e,12.4,e,15.8,e,17,e,23.2,e,24.2,e,25.4,e,29.7,e,33.6,e,32,b,32.2,,33.3,
Denmark,37.1,,36.1,,37.6,,40.9,,41,,41,,41.8,,44.2,,47.9,,48.8,e,:,,42.4,b,42.5,,43.3,,45.4,,47.4,,48.3,,47.6,,49.9,,51.5,
Germany (until 1990 former territory of the FRG),52.5,s,52.3,s,56.1,,57.8,,56.4,,60.9,,62.1,,63.2,,63.8,,63.1,,62.5,,63,,65.2,,63.8,,65.6,,66.7,,67.1,,67.2,,67.1,,66.7,e
Estonia,2.4,b,5.1,b,2.7,,15,,24.8,,22.5,,17.4,,23.1,,20.2,b,21,,18.2,b,23.3,,19.1,,17.9,,31.3,b,28.3,,28.1,,28.4,,28,,30.8,
Ireland,11.9,,11.3,,18.3,,23.6,b,29.5,,31.1,,33.1,,34.1,,33.6,,33.5,,35.7,,36.1,,36.6,,:,,39.8,b,:,,40.7,,40.4,,37.6,,:,
Greece,8.8,,8.8,,8.8,,8.1,,10.1,,11.8,,12.8,,20.1,,17.7,,18.9,,17.1,,17.8,,17,,15.8,,15.4,,15.8,,17.2,,18.9,,20.1,,21,
Spain,18.4,,21.4,,29.3,,28.7,,30.9,,31.4,,31.2,,30.6,,39.7,,33.2,,29.2,,26.7,,29.8,,32.5,,30.8,,30,,33.9,,36.1,,34.8,,34.7,e
France,24.5,,26.1,,27.3,,28,,29,,29,,30.7,e,32.3,,33.8,e,35.3,,36,e,36.8,,37.7,e,38.7,,39.7,e,40.7,,42.9,e,44.1,,45.1,ep,46.3,ep
Croatia,:,,:,,:,,:,,:,,:,,:,,3.1,d,2.8,d,2.3,d,4,d,8.3,d,14.7,,14.9,,16.5,,18,,21,,23.6,,25.3,,30.2,
Italy,14.2,,17.8,,14.8,,16.3,,17.6,,18.5,,19.2,,25,b,23.8,,29.7,,31,,35.5,,38.4,,39.4,,41.6,,44.3,b,45.9,,47.8,,49.8,,51.4,
Cyprus,3,,3.1,,3.2,,3.1,,3.2,,3.7,,4.4,b,5.2,,7.5,,8.3,,10.9,,11,,12.5,,13.9,,14.8,,16.6,,16.1,,16.2,,16.5,,15,p
Latvia,0,e,0.4,e,0.4,b,2.3,,4.6,,3.8,,4.5,,5,,6.4,,7.7,,9.4,,9.7,,14.7,,25.9,,27,,28.7,,25.2,,24.8,,25.2,,41,
Lithuania,0,,0,,0,,0,,1.9,s,1.9,s,1.9,s,7.5,,8.5,b,8.5,,4.9,,19.9,,23.5,,27.8,,30.5,,33.1,,48,b,48.1,,52.5,,49.7,
