TIME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
GEO (Labels),,,,,,,,,,,,,,,,,,,
European Union - 27 countries (from 2020),:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Belgium,41.1,45.7,47.7,51.4,53.2,54.4,57.4,68.7,71,72.8,75,77.2,74.94,76.42,78.24,80.46,81.93,82.96,:
Bulgaria,36.1,37.4,37.8,37.9,38,38.27,38.75,39.66,41.35,42.69,45.1,53.63,53.9,54.54,54.77,60.63,61.84,63.19,63.72
Czechia,:,:,69.7,70.6,70.8,72.8,71.9,73,75.4,75.7,76.9,78,78,79.8,79.8,80.7,81.2,82.3,82.3
Denmark,87.1,87,88,:,:,:,:,:,:,89.7,88.3,88.8,88.8,90.5,91.5,91.3,92,92.8,92.9
Germany (until 1990 former territory of the FRG),:,92.6,:,:,93.8,97.3,:,91.9,:,:,95.6,95.5,95.409,95.352,95.559,95.766,95.974,:,:
Estonia,69,69,71,71,72,78,78,83.5,84.5,84.5,83.3,86.1,86.2,87.1,88,87.61,87.79,87.87,:
Ireland,:,29,:,:,:,:,:,59,:,71,:,63,58.78,59.38,59.98,60.56,61.15,61.15,:
Greece,:,:,:,:,:,:,:,85,:,87.4,87.4,88.2,92.03,92.9,92.9,93.4,93.4,:,:
Spain,80,:,88,:,:,:,88,:,88,:,93,:,88.7,:,84.68,:,86.62,:,:
France,:,77.3,:,:,79.5,:,:,:,:,:,77.7,79.8,80.1,80.5,78.6,80.2,80.1,79.8,79.3
Croatia,:,:,:,:,:,:,:,:,:,:,:,36.9,36.9,36.9,36.9,36.9,36.9,36.9,36.9
Italy,:,:,:,:,:,54.2,:,:,57.5,83,:,:,57.6,:,:,59.6,:,:,:
Cyprus,14.3,15.9,18.3,22.9,28.4,29.8,:,:,:,:,:,:,:,:,:,:,:,:,:
Latvia,56.16,55.56,57.12,70.41,66.58,66.64,67.04,72.48,59.86,64.08,62.46,78.92,81.66,83.41,85.1,90.29,91.62,94.95,98.69
Lithuania,:,:,24.5,27.6,:,:,:,:,:,:,:,:,63.055,64.263,69.39,72.282,73.529,73.78,75.8
Luxembourg,:,:,:,88.1,:,:,:,:,:,:,91.3,90.9,96.1,96.3,96.6,96.6,96.9,97,:
Hungary,29.8,29.1,32.4,38.9,40.2,41.7,45.3,49.8,50,52.1,69.5,70.9,72.8,72.68,73.5,76.47,78.1,79.119,80.36
Malta,11.24,11.46,12.9,13.16,10.85,13.23,9.26,8.41,14.61,14.97,6.36,92,91.9,91.75,91.55,0,14.46,14.86,0
Netherlands,98.1,98.4,98.5,98.6,98.9,99,99.1,:,99.3,:,99.3,99.4,99.5,99.4,99.4,99.43,99.45,99.5,99.5
Austria,85.8,86,86.4,89,88.9,:,91.8,:,92.6,:,93.9,:,94.5,:,95,:,99.75,:,99.78
Poland,50.2,52.1,54,55.5,56.8,58.1,60.7,61.8,62.9,64.1,64.5,65.5,68.5,70.2,71.4,72.6,73.4,73.5,74
Portugal,:,:,27,32,:,42.6,37,51,52,55.8,:,:,:,:,:,:,:,84.64,:
Romania,:,:,:,:,16.9,16.9,19.7,20.4,18.2,20.7,22.7,31.7,35.3,36.1,38.2,39.7,43.8,46.5,48.1
Slovenia,12.3,15.5,18.4,19.9,29.3,32.1,47.6,48.8,51.1,52.9,51.6,54.4,53.7,55.2,55.6,57.4,63.3,67.4,68.9
Slovakia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,63.6,65,65.7
Finland,80,81,81,:,:,:,:,:,:,:,83,83,83,83,85,:,:,:,85
Sweden,94,93.4,93,94,94,94,94,94,94,94,94,94,95,95,95,95,95,95,:
Iceland,0,0,1,1,1,2,:,:,2,:,1,:,:,:,:,:,:,:,:
Norway,61.6,62.9,64.1,64.2,64.3,65.7,66.3,51.1,51.1,51.5,51.5,54.2,52.6,52.7,52.7,53.4,57,60.8,66.9
Switzerland,96,96,96,:,:,97,:,:,:,:,98,:,:,98,:,:,:,:,:
United Kingdom,91,98,99,99,99,99,:,:,96.9,97,99.5,:,:,:,100,:,:,:,:
Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,9.9,8,7,7.34,33.6
Serbia,:,:,5.1,5.4,5.8,6.4,6.9,6.9,7.5,8.9,8.6,8.9,8.98,9.39,9.98,10.82,12.5,12.6,12.87
Turkey,18.3,19.2,19.2,21.1,24.8,28.5,29.6,31.1,31.4,35.2,37.6,:,42,:,49.052,55.414,56.3,60.48,60.789
Bosnia and Herzegovina,9.4,9.89,9.89,10.03,10.03,10.03,10.03,10.03,10.65,10.65,10.91,11.05,11.44,11.73,11.75,11.75,29.56,29.6,29
Kosovo (under United Nations Security Council Resolution 1244/99),:,:,:,:,:,:,:,:,:,:,:,0.55,0.55,0.6,0.6,0.6,0.6,0.6,0.56
,,,,,,,,,,,,,,,,,,,
Special value,,,,,,,,,,,,,,,,,,,
:,not available,,,,,,,,,,,,,,,,,,
