TIME,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,
GEO (Labels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Union - 27 countries (from 2020),12.5,b,11.9,b,11.7,,11,,10.3,,9.8,,9.2,,9.1,,8.4,b,7.5,,6.7,b,6.5,b,6,b,5.5,,5.4,b,5.5,b,5.3,d,5.2,bd,5.2,dep,5.1,bdep
European Union - 28 countries (2013-2020),11.7,b,11.2,b,11,,10.4,,9.7,,9.3,,8.8,,8.6,,7.9,b,7,,6.2,b,6.1,b,5.6,b,5.1,,5.1,b,5.1,b,5,d,4.9,bd,4.9,dep,:,
Belgium,14.3,,14.4,,12.6,,11.7,,11.2,,10.4,,10.1,,10.1,,8.8,,8.7,,7.8,,8,b,7.4,b,6.8,,6.6,,6.8,,5.9,,5.4,,5.3,,5.6,
Bulgaria,12.4,,12.6,,12.2,,12.3,,12.2,,12.5,,13.7,,13.3,,14.2,,12.1,,10.5,,8.9,,8.2,,8.3,,9.2,,9.9,,9.9,,9.6,,8.7,,9,
Czechia,14.5,,13,,14,,14.2,,13.6,,12.6,,10.4,,11.9,,10.4,,8.6,,7.7,,7.4,,7.1,,6.2,,6.5,,7,,5.8,,5.4,,6.2,,5.8,
Denmark,9.3,,8,,8.6,,8,,6.8,,6.1,,5.6,,7.4,,7.4,,5.5,,4.6,,3.9,,3,,3.4,,3.2,,3.1,,3.7,,3,,3,,3.4,
Germany (until 1990 former territory of the FRG),9.1,,8.5,,8.3,,8,,7.1,,6.5,,6.2,,6,,5.5,,5.1,,4.5,,5,b,4.5,,4.1,,4.2,,4.2,,3.9,,3.8,,4,,3.7,
Estonia,14.6,,14.3,,16.2,,12,,12.5,,12.5,,15.1,,14.6,,9.9,,7.3,,5.9,,7.6,,6.6,,6.1,,5.9,,5.1,b,5.4,,3.6,,5.1,,3.9,
Ireland,11,,10.7,,9.6,,8.4,,9.3,,9.6,,8.5,,7.7,,6.2,,5.2,,4.6,,4.1,,3.5,,4.1,,4.1,,3.4,,3.8,,3.2,d,2.9,de,2.8,de
Greece,18.9,,17.3,,15,,14.7,,15.2,,15.1,,15,,14.6,,14,,13.1,,11.3,,10.3,,8.9,,8,,7.3,,7.3,,7.6,,6.8,,6.5,,6.4,
Spain,14.2,,13.4,,12.8,,12.7,,11,,10.1,,9.2,,8.4,,6.7,,5.8,,5.2,,4.2,,4,,3.5,,3.6,,3.6,,3.9,,3.9,,3.9,,3.7,
France,13.3,,13.3,,12.4,,9.7,,8.8,,8.4,,7.4,,7.2,,6.7,,6.6,,6.2,,6.1,,5.6,,5,,5.1,b,5.2,,5.2,,5.1,,4.8,p,4.8,p
Croatia,14.7,e,15,b,14.6,,16.3,,14.1,,13.8,,14.2,,14.4,,15.4,,12.7,,9.9,,9.8,,9.2,,8.6,,7.3,,8.3,,7.4,,8,,7.7,,7.3,
Italy,12.4,,12.5,,12.2,,11.5,,10.6,,10,,9.7,,8.8,,8,,7.2,,6.9,,6.5,,6.3,,5.6,,5.6,,5.6,,5.4,,5.6,,5.5,,5.3,b
Cyprus,16,,14,,13.2,,13.5,,16.1,,13.8,,11.5,,11.6,,10.4,,8.8,,7.2,,8.3,,5.9,,5.1,,5.3,,6.7,,5.4,,6.2,,5.6,,5.9,
Latvia,26.8,,23.9,,24.2,,23.3,,22.8,,19.7,,18.3,,19,,14.5,,11.9,,10.4,,8.7,,8.7,,8.9,,10.6,,9.5,,8.1,,7,,7.7,,6.9,
Lithuania,18.3,,20.3,,20.2,,20.8,,22.3,,23.3,,23.2,,22.9,,15.6,,11.7,,9.7,,9.8,,10.1,,8.7,,9.1,,8.3,,6.7,d,6.8,d,6.2,d,6.7,d
Luxembourg,17.4,,15.9,,13.9,,11.7,,10.9,,10.1,,9.1,,9.6,,7.2,,9.6,,6.3,,6.4,,6.4,b,8.3,,6.3,,6.3,,5.5,,4.2,b,5.9,,3.5,
Hungary,11.8,,12.2,,14.1,,13.1,,12.8,,12.7,,12.9,,12.3,,9.9,,8.2,,7.4,,6.4,,6.1,b,6,,6.3,,6.5,,6.2,,6.4,,6.5,,6.2,
Malta,3.8,,4.1,,4,,4,,3.2,,4.2,,2.7,,3,,2.2,,3.6,,3.1,,3.8,,2.1,,4,,2.3,,2.5,,5.1,,4.1,,3.7,,3.2,d
Netherlands,6.8,,6.2,,6.1,,6.3,,4.9,,4.6,,4.5,,4.3,,4.1,,3.9,,3.2,,3.3,,3.4,,2.8,,2.8,,3.1,,3.1,,3.1,,3.5,,3.4,d
Austria,12.2,,11.9,,11.8,,11.5,,10.7,,9.3,,8.8,,8.3,,8.2,,7.6,,6.6,,6.2,,6.3,,5.4,,5,,5.5,,4.9,,4.7,,4.6,,4.7,
Poland,16.5,b,14.5,,15.2,,14.8,,15,,14.3,,13.7,,14.6,,14.3,,12,,10.3,b,11,,9.4,,8.8,,8.4,,7.7,,8,,7.5,,7.5,,7.7,
Portugal,17.8,,16,,15.9,,14.6,,12.2,,11.7,,9,,9.1,,8.2,,7.8,,8.9,,8.4,,6.8,,6.1,,6.1,,5.7,,5.5,,5.8,,6.8,,6.7,
Romania,11,,11.1,,11.1,,10.3,,11.4,,12.3,,12.2,,13.4,,14.9,,13.7,,11.7,,10,,10.2,,9.3,,9.1,,9.6,,9.7,,10,,9.6,,9.6,e
Slovenia,15.8,,14,,13.5,,12.1,,13.7,,12.9,,13.1,,14.5,,10.6,b,8.4,,6.7,,6.9,,6.3,,6.1,,5.2,,5.8,,6.3,,5,,4.4,,4.9,
Slovakia,11.7,,11.6,,11.6,,12.2,,11.3,,11.3,,11.4,,12.3,,11.3,,7.1,,6.9,,6,,6.5,,4.6,,5.4,,5.7,,5.1,,5.1,,4.8,,5,
Finland,7.7,,8.3,,8,,7.3,,7.2,,7.2,,6.4,,7.2,,6.5,,5.2,,5.1,,5.4,,4.7,,4.7,,4.2,,4.9,,4.7,,4.3,,4.3,,3.8,
Sweden,6.7,,6.6,,6.3,,5.9,,5.3,,4.9,,4.9,,5.1,,4.3,,3.9,,2.8,,3.4,,3,,2.7,,2.8,,2.6,,2.7,,2.5,,3.2,,2.2,
Iceland,11.4,,8.4,,10.1,,7.9,,7.9,,6.4,,10.2,,4.8,,3.8,,5.3,,2.5,,3.8,,2.8,,4.6,,1.2,,4.8,,5.4,,4.7,,5.1,,1.7,
Liechtenstein,9.2,,6,,0,,14.7,,2.9,,5.8,,0,,0,,2.8,,2.8,,0,,5.5,,2.7,,5.4,,8.1,,5.3,,0,,5.3,,0,,0,
Norway,7.6,,6.1,,6.8,,6.1,,5.6,,4.8,,5.2,,4.9,,5.3,,4.4,,4.3,,3.4,,2.9,,3.7,,2.9,,2.3,,2.6,,2,,2,,2,
Switzerland,8.2,,7.5,,7,,7.4,,6.9,,5.5,,4.9,,5.1,,4.7,,4.5,,4.2,,4,b,4.2,,3.3,,3,,3.1,,2.6,,2.7,,2.7,,2.2,
United Kingdom,6.1,,6.1,,6,,6.1,,5.6,,5.5,,5.4,,5,,4.3,,3.8,,3,,3.1,,2.8,,2.8,,2.9,,2.8,,2.8,,2.8,,2.8,,:,
Turkey,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,5,d,4.8,d,4.6,d,9.6,d,9.2,d,9.2,d,8.2,d,:,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
:,not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Available flags:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de,"definition differs (see metadata), estimated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dep,"definition differs (see metadata), estimated, provisional",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bd,"break in time series, definition differs (see metadata)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
