TIME,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,
GEO (Labels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,,:,,:,,:,,:,,:,,:,,:,,15.6,,15.1,,15.6,,15.7,,15.2,,15.4,,13.3,e,13.9,e,13.1,e,:,
European Union - 27 countries (from 2020),:,,:,,:,,:,,:,,:,,:,,16.3,e,15.5,e,14.8,e,15.6,e,15.6,e,15.3,e,15.2,e,13.1,e,13.6,e,12.7,e,:,
European Union - 28 countries (2013-2020),:,,:,,:,,:,,:,,:,,:,,16.1,,15.6,,15.1,,15.6,,15.7,,15.2,,15.4,,13.3,e,13.9,e,13.1,e,:,
European Union - 27 countries (2007-2013),:,,:,,:,,:,,18,,16.9,,16,,16.1,,15.6,,15.1,,15.7,,15.8,,15.3,,15.4,,13.3,e,14,e,12.7,e,:,
Euro area - 19 countries  (from 2015),:,,:,,16.6,,16.6,,16.2,,15.9,,16,,16.4,,15.9,,15.3,,16.3,,16.6,,16,,16,,13.4,,14.1,,13.2,,:,
Euro area - 18 countries (2014),:,,:,,16.4,,16.5,,16.1,,15.8,,16,,16.4,,15.9,,15.2,,16.3,,16.6,,16,,15.9,,13.4,,14.1,,13.2,,:,
Belgium,13.7,,13.5,,15,,14.8,,14.2,,18,,15.2,b,19,,21.2,,18.7,,18.1,,17.5,,18.2,,19.2,,18.4,,17.9,,16.7,b,15.7,b
Bulgaria,:,,:,,30.7,,30.7,,14.8,,30.4,,23.9,,15.4,b,14.9,,13.8,,12.9,,13.2,,12.9,,12.3,b,12.2,,13,,11.6,,11,
Czechia,:,,:,,20.5,,21.2,,15.6,,13.8,,14.6,,11.8,,11.9,,10.5,,10,,9.2,,8.9,,8.2,,8,,7.7,,7.3,,6.8,
Denmark,8.2,,8.5,,8,,9,,10.6,,8.7,,7.8,,8,,16.3,b,17.6,,16.6,,15,,16.1,,15.9,,14.9,,16.4,,14.9,,16.8,
Germany (until 1990 former territory of the FRG),:,,:,,14.2,,15.4,,13.1,,14,,14,,13.3,,13.7,,13.5,,13.1,,12.3,,12.8,,13.1,,12.5,,13.4,,12,,12,bu
Estonia,:,,29.8,,24.6,,23.7,,21.6,,17.1,,20.2,,18.8,,19.2,,19.4,,17.5,,15.9,b,13.4,,13.9,,13.9,,13.6,,13.8,,10.2,
Ireland,12.9,,13.5,,12.1,,14.9,,14.9,,11.9,,13.2,,12.6,,11.1,,13,,14.3,,14.5,,13.6,,13.3,,12.6,,11.9,,12.5,,:,
Greece,21,,19.7,,20.9,,20.4,,19.4,,18.6,,17.6,,17.1,,15.3,,14.7,,14,,13.7,,15.1,,14.7,,13.5,,12.9,,12.5,,12.3,
Spain,:,,20.6,,17.9,,18.5,,19,,16.8,,18.3,b,21.8,,16.1,,12,,16.7,,17.1,,15.2,,15.9,,11.5,,15.9,,14.7,,19.7,
France,:,,15,,12.3,,12,,13.7,,12.8,,12.6,,12.5,,10.9,,12.8,,12.8,,13.4,,12.6,,14,,11.1,,12.7,,11.5,,17.9,p
Croatia,:,,:,,:,,:,,:,,:,,:,,19.8,,15.2,,13.3,,13.1,,11.7,,10.9,,11.5,,11.4,,11.2,,10.2,,9.4,
Italy,:,,23.2,,22.6,,22,,21.4,,20.6,,20.9,,20.5,,23.4,,21.4,,22.9,,25,,24.1,,21,,16.1,,13.2,,14,,:,
Cyprus,:,,:,,36.3,,32.9,,30.1,,26.5,b,29.6,,30,,29.8,,30,,31.1,,25.5,,26.5,,27.1,,29.3,,30.2,,31.1,,39.1,
