Country,2012,2013,2014,2015,2016,2017,2018,2019,2020,2012,2013,2014,2015,2016,2017,2018,2019,2020,2012,2015,2018,2012,2013,2014,2015,2016,2017,2018,2019,2012,2013,2014,2015,2016,2017,2018,2019,2012,2013,2014,2015,2016,2017,2018,2019,2012,2013,2014,2015,2016,2017,2018,2019,2020,2012,2013,2014,2015,2016,2017,2018,2012,2013,2014,2015,2016,2017,2018,2019,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,C1,C1,C1,C1,C1,C1,C1,C1,C1,C2,C2,C2,C2,C2,C2,C2,C2,C2,C3,C3,C3,C4,C4,C4,C4,C4,C4,C4,C4,C5,C5,C5,C5,C5,C5,C5,C5,C6,C6,C6,C6,C6,C6,C6,C6,C7,C7,C7,C7,C7,C7,C7,C7,C7,C8,C8,C8,C8,C8,C8,C8,C9,C9,C9,C9,C9,C9,C9,C9,C10,C10,C10,C10,C10,C10,C10,C10,C10
Belgium,1.6,2,2,1.6,3.5,4.8,5.7,5.7,5.7,17.4,17.5,18.1,18,15.8,15.6,17.7,16,14.5,537.8,581.6,583.5,7.4,6.8,6.6,6.8,5.9,5.4,5.3,5.6,16.1,16.7,14.4,13.5,13.3,12.8,12.8,11.1,53.4,52.8,53.8,53.5,53.5,53.9,54.4,54.7,18.7,18.1,17.5,18.2,19.2,18.4,17.9,16.7,15.7,74.94,76.42,78.24,80.46,81.93,82.96,,20.7,20.2,19.6,18.8,18.2,18.2,18.4,18.7,14.5,19.4,16.2,16.1,13.3,12.4,12.3,13.3,10.8
Bulgaria,44.5,44.2,43.3,41.4,42.5,41.9,41.6,41.1,39.5,12,11.1,11.7,9.7,10,9.8,9.4,8.9,8.8,468.5,613.5,623.4,8.2,8.3,9.2,9.9,9.9,9.6,8.7,9,29.3,26.3,26.1,25,20.2,23.8,20.1,19.6,25,28.5,23.1,29.4,31.8,34.6,31.5,,13.8,12.9,13.2,12.9,12.3,12.2,13.0,11.6,11,53.9,54.54,54.77,60.63,61.84,63.19,63.72,17.9,17.0,17.7,16.9,16.3,15.2,14.2,15.3,26.9,25.8,26.8,26.3,25,23.6,21.8,20.2,19.1
Czechia,21.1,21,19.9,18.7,17.9,16,15.7,15.4,15.2,14.3,14.9,13.7,13.9,14.5,13.6,14.6,14,13.3,588.4,616.1,634.4,7.1,6.2,6.5,7.0,5.8,5.4,6.2,5.8,19.2,20.2,19.1,17.4,18.1,18.4,19.5,14.4,23.2,24.2,25.4,29.7,33.6,32,32.2,33.3,10.5,10,9.2,8.9,8.2,8,7.7,7.3,6.8,78,79.8,79.8,80.7,81.2,82.3,82.3,26.0,26.4,27.2,25.9,26.5,27.1,26.7,26.2,13.2,13.9,13.5,12,11.7,9.3,7.9,7.8,6.1
Denmark,7.2,7.9,8.2,8.1,8.2,8.6,9.2,10,9.5,17.1,15.6,16.4,16.5,18.3,18.8,18.2,20.1,18.2,1021,1052.3,1053.8,3.0,3.4,3.2,3.1,3.7,3.0,3.0,3.4,11.1,10.3,12.4,11.3,10,9.2,12,10,42.5,43.3,45.4,47.4,48.3,47.6,49.9,51.5,17.6,16.6,15,16.1,15.9,14.9,16.4,14.9,16.8,88.8,90.5,91.5,91.3,92,92.8,92.9,20.0,20.1,19.4,19.1,18.6,18.5,18.0,17.3,9.9,9.2,9.1,7.7,8.4,7.8,7.4,7.5,7.3
Germany (until 1990 former territory of the FRG),6.6,6.7,6.6,7,7.2,7.2,7.4,7.8,10.3,26.1,26.1,25.9,25.8,25.1,26.1,27.8,26.1,21.5,553.4,564.8,586.7,4.5,4.1,4.2,4.2,3.9,3.8,4.0,3.7,14.3,14.6,15.1,13.4,12.9,12.8,13.1,10.9,65.2,63.8,65.6,66.7,67.1,67.2,67.1,66.7,13.5,13.1,12.3,12.8,13.1,12.5,13.4,12,12,95.409,95.352,95.559,95.766,95.974,,,14.6,14.2,14.3,14.4,14.4,14.7,14.9,15.2,12.5,13.5,13.1,13.8,14.1,14.2,13.3,13.1,8.2
Estonia,14,21.1,14.2,13.4,13.4,13.5,12.6,13.9,12.7,12.8,10.8,10.5,9.4,10.4,8.2,8.6,8.2,8,1316.1,1540.5,1484.4,6.6,6.1,5.9,5.1,5.4,3.6,5.1,3.9,7.8,8.1,8.6,6.7,5.4,5.3,6.3,4.8,19.1,17.9,31.3,28.3,28.1,28.4,28,30.8,19.4,17.5,15.9,13.4,13.9,13.9,13.6,13.8,10.2,86.2,87.1,88,87.61,87.79,87.87,,18.6,19.0,18.4,21.8,19.9,19.5,19.4,19.9,15.7,12.3,12.3,11.8,9.2,7.3,7.4,7.4,5.5
Ireland,3.2,2.8,4.2,3.8,3.4,2.8,2.7,3.2,,9,9.4,9,8.2,7.7,9,9.4,8.2,,1015.6,961.3,972.7,3.5,4.1,4.1,3.4,3.8,3.2,2.9,2.8,,11.1,9.5,8,8.9,8,8.8,8.8,36.6,,39.8,,40.7,40.4,37.6,,13,14.3,14.5,13.6,13.3,12.6,11.9,12.5,,58.78,59.38,59.98,60.56,61.15,61.15,,17.2,16.8,17.7,16.7,16.6,17.4,18.3,18.2,10.7,11.9,10.9,10.9,9.7,9.7,10.0,8.8,
Greece,26.5,27.3,27.4,28.1,28.7,29,29.2,28.7,29.1,25.1,24.2,19.7,19.2,19.9,20.1,19.3,19.7,19.8,576.7,627.7,710.2,8.9,8.0,7.3,7.3,7.6,6.8,6.5,6.4,18.4,10,,16.4,14.7,13.5,13.4,14.1,17,15.8,15.4,15.8,17.2,18.9,20.1,21,14.7,14,13.7,15.1,14.7,13.5,12.9,12.5,12.3,92.03,92.9,92.9,93.4,93.4,,,18.4,18.7,18.6,18.6,18.1,17.5,17.3,17.0,20.1,19,16.1,12.8,11.8,13.8,13.5,16.9,18.2
Spain,5.6,5.2,5.3,5.5,5.4,5.1,4.7,5.9,7.6,15,18.3,15.9,15.7,16.2,15.2,17.0,14.1,21.9,556,572.9,577.5,4.0,3.5,3.6,3.6,3.9,3.9,3.9,3.7,13.7,10.7,11.3,13,11.3,12.1,11.7,11.8,29.8,32.5,30.8,30,33.9,36.1,34.8,34.7,12,16.7,17.1,15.2,15.9,11.5,15.9,14.7,19.7,88.7,,84.68,,86.62,,,19.3,19.3,17.3,18.6,18.4,14.8,15.1,15.4,10.1,14.2,11.9,10,10.3,8.7,10.9,11.6,14.1
France,8.1,7.4,7.1,7.4,7.7,7.7,8.2,7.7,9.8,17,16.2,16.9,16.4,17.7,16.8,18.2,17.3,20.5,840.5,835.2,845.1,5.6,5.0,5.1,5.2,5.2,5.1,4.8,4.8,16,15.8,12.6,13.5,12.7,12,11.7,10.4,37.7,38.7,39.7,40.7,42.9,44.1,45.1,46.3,12.8,12.8,13.4,12.6,14,11.1,12.7,11.5,17.9,80.1,80.5,78.6,80.2,80.1,79.8,79.3,14.9,18.6,18.4,17.2,16.8,17.2,16.7,16.8,14.7,16.8,15.3,14.2,14.8,13.9,14.9,14.7,17.6
Croatia,44.4,42.8,42.1,41.7,41.1,39.9,39.3,38.5,36.2,10.1,10,8.9,8.3,8.5,8.6,8.0,8.2,8.1,,670.7,722.5,9.2,8.6,7.3,8.3,7.4,8.0,7.7,7.3,,21.9,20,21.9,20.6,19,20.3,16,14.7,14.9,16.5,18,21,23.6,25.3,30.2,13.3,13.1,11.7,10.9,11.5,11.4,11.2,10.2,9.4,36.9,36.9,36.9,36.9,36.9,36.9,36.9,14.2,14.5,14.9,14.1,15.0,15.7,15.2,15.8,3.2,2.9,2.5,2.8,3,3,2.6,2.7,2.4
Italy,26.1,27.1,27.2,27.8,27.8,27.1,27.8,28.3,,17.9,18.1,17.6,18.3,16.2,12.5,10.9,11.9,,458.7,471.5,484.3,6.3,5.6,5.6,5.6,5.4,5.6,5.5,5.3,23,20.1,17.6,22,19.3,19.2,16,15.1,38.4,39.4,41.6,44.3,45.9,47.8,49.8,51.4,21.4,22.9,25,24.1,21,16.1,13.2,14,,57.6,,,59.6,,,,21.1,20.3,19.2,18.6,18.0,17.3,18.0,17.9,14.9,16,18,19.4,14.7,12.5,11.3,9.4,
Cyprus,2.8,2.4,2.2,1.4,2.4,2.8,2.5,2.2,2.5,25.7,26.2,19.2,17.2,15.6,16.9,19.6,15.4,14,787.8,977.2,939,5.9,5.1,5.3,6.7,5.4,6.2,5.6,5.9,24.3,17,17.2,17.2,14.7,14.7,13.2,13.4,12.5,13.9,14.8,16.6,16.1,16.2,16.5,15,30,31.1,25.5,26.5,27.1,29.3,30.2,31.1,39.1,,,,,,,,18.7,18.5,18.2,18.7,18.6,19.0,18.9,18.5,15.5,15.3,11.9,12,9.8,12.5,13.9,12.7,10.4
