TIME,2012,2013,2014,2015,2016,2017,2018,2019
Belgium,7.4,6.8,6.6,6.8,5.9,5.4,5.3,5.6
Bulgaria,8.2,8.3,9.2,9.9,9.9,9.6,8.7,9
Czechia,7.1,6.2,6.5,7.0,5.8,5.4,6.2,5.8
Denmark,3.0,3.4,3.2,3.1,3.7,3.0,3.0,3.4
Germany (until 1990 former territory of the FRG),4.5,4.1,4.2,4.2,3.9,3.8,4.0,3.7
Estonia,6.6,6.1,5.9,5.1,5.4,3.6,5.1,3.9
Ireland,3.5,4.1,4.1,3.4,3.8,3.2,2.9,2.8
Greece,8.9,8.0,7.3,7.3,7.6,6.8,6.5,6.4
Spain,4.0,3.5,3.6,3.6,3.9,3.9,3.9,3.7
France,5.6,5.0,5.1,5.2,5.2,5.1,4.8,4.8
Croatia,9.2,8.6,7.3,8.3,7.4,8.0,7.7,7.3
Italy,6.3,5.6,5.6,5.6,5.4,5.6,5.5,5.3
Cyprus,5.9,5.1,5.3,6.7,5.4,6.2,5.6,5.9
Latvia,8.7,8.9,10.6,9.5,8.1,7.0,7.7,6.9
Lithuania,10.1,8.7,9.1,8.3,6.7,6.8,6.2,6.7
Luxembourg,6.4,8.3,6.3,6.3,5.5,4.2,5.9,3.5
Hungary,6.1,6.0,6.3,6.5,6.2,6.4,6.5,6.2
Malta,2.1,4.0,2.3,2.5,5.1,4.1,3.7,3.2
Netherlands,3.4,2.8,2.8,3.1,3.1,3.1,3.5,3.4
Austria,6.3,5.4,5.0,5.5,4.9,4.7,4.6,4.7
Poland,9.4,8.8,8.4,7.7,8.0,7.5,7.5,7.7
Portugal,6.8,6.1,6.1,5.7,5.5,5.8,6.8,6.7
Romania,10.2,9.3,9.1,9.6,9.7,10.0,9.6,9.6
Slovenia,6.3,6.1,5.2,5.8,6.3,5.0,4.4,4.9
Slovakia,6.5,4.6,5.4,5.7,5.1,5.1,4.8,5
Finland,4.7,4.7,4.2,4.9,4.7,4.3,4.3,3.8
Sweden,3.0,2.7,2.8,2.6,2.7,2.5,3.2,2.2
Iceland,2.8,4.6,1.2,4.8,5.4,4.7,5.1,1.7
Norway,2.9,3.7,2.9,2.3,2.6,2.0,2.0,2
Switzerland,4.2,3.3,3.0,3.1,2.6,2.7,2.7,2.2
United Kingdom,2.8,2.8,2.9,2.8,2.8,2.8,2.8,:
