TIME,2012,2013,2014,2015,2016,2017,2018,2019,2020
Belgium,18.7,18.1,17.5,18.2,19.2,18.4,17.9,16.7,15.7
Bulgaria,13.8,12.9,13.2,12.9,12.3,12.2,13.0,11.6,11
Czechia,10.5,10,9.2,8.9,8.2,8,7.7,7.3,6.8
Denmark,17.6,16.6,15,16.1,15.9,14.9,16.4,14.9,16.8
Germany (until 1990 former territory of the FRG),13.5,13.1,12.3,12.8,13.1,12.5,13.4,12,12
Estonia,19.4,17.5,15.9,13.4,13.9,13.9,13.6,13.8,10.2
Ireland,13,14.3,14.5,13.6,13.3,12.6,11.9,12.5,:
Greece,14.7,14,13.7,15.1,14.7,13.5,12.9,12.5,12.3
Spain,12,16.7,17.1,15.2,15.9,11.5,15.9,14.7,19.7
France,12.8,12.8,13.4,12.6,14,11.1,12.7,11.5,17.9
Croatia,13.3,13.1,11.7,10.9,11.5,11.4,11.2,10.2,9.4
Italy,21.4,22.9,25,24.1,21,16.1,13.2,14,:
Cyprus,30,31.1,25.5,26.5,27.1,29.3,30.2,31.1,39.1
Latvia,28.2,27.7,27.5,24.4,21.9,22.8,23.5,19.3,17.5
Lithuania,17.6,19.9,18.9,17,18.2,15.7,14.8,14,10.9
Luxembourg,17.1,15.3,15,14.4,18.7,17.4,18.3,15.4,15.4
Hungary,24.7,26.7,26.9,25.4,26.7,24.8,22.5,22.3,20.4
Malta,10.8,11.7,10.9,10.1,9.1,8.4,7.1,7.6,6.1
Netherlands,16.2,15.6,15.8,15.7,16.3,13.5,15.8,14.7,14.8
Austria,11.8,12.5,10,11.7,11.2,11.9,10.4,9.4,9.1
Poland,10.5,10.1,9.2,11.9,11.6,11.9,11.6,10.8,6
Portugal,22,31.9,32.8,28.1,30.5,25.5,26.9,24.4,25.2
Romania,15.5,16.2,13.6,12.8,13.3,11.1,10.1,9.4,10
Slovenia,31.5,27,29.9,26.9,23.8,22,22.7,20.6,20.8
Slovakia,8.8,7.5,7,6.3,6.2,6.7,5.1,5.7,4.9
Finland,6,5.2,5,4.4,4.7,4.2,4.6,4.1,4.5
Sweden,7.8,7.7,7.7,7.7,7.4,7,7.8,7,7.1
Iceland,18.6,18,15.9,19.3,18.6,19.8,19.1,:,:
Norway,8.2,7,6,6.8,5.9,5.6,6.8,6.5,6.3
Switzerland,12.8,11.5,11.3,11.9,12.7,12.2,9.8,10.5,:
United Kingdom,17.2,15.9,16.6,14.8,16.4,17,17.6,:,:
