,Ai,TOPSIS,VIKOR,COMET
0,$A_{1}$,0.556542287144875,0.5667674925994658,0.6832410837889775
1,$A_{2}$,0.36028940463602743,0.87215642963998,0.08079200808617286
2,$A_{3}$,0.5726311255430261,0.519567474086432,0.7319215768338833
3,$A_{4}$,0.606582659622376,0.32741549207710535,0.807910013533248
4,$A_{5}$,0.5481270548192141,0.5694891771024699,0.6565235762796993
5,$A_{6}$,0.6806846165189467,0.1325901731879416,0.934437233535331
6,$A_{7}$,0.6331308371705804,0.32293435699346895,0.887622051535472
7,$A_{8}$,0.4194355016103379,0.6677255913925175,0.2256336104707118
8,$A_{9}$,0.5600810693676399,0.5655121130771291,0.6977594197587669
9,$A_{10}$,0.5649443800255728,0.4621612934047792,0.7047842154685774
10,$A_{11}$,0.43474561084192853,0.7204308840034828,0.23286306611643495
11,$A_{12}$,0.4754629821766069,0.6874992711106884,0.38300873074292546
12,$A_{13}$,0.4913151179613614,0.7127243671169978,0.4278679705200014
13,$A_{14}$,0.5247898407606367,0.5441529172700588,0.5577030890004817
14,$A_{15}$,0.5701958450284661,0.5491713767747366,0.7247017597254417
15,$A_{16}$,0.5460588978495919,0.4817874657688378,0.6526058149612045
16,$A_{17}$,0.5266813005861539,0.6405300633290089,0.5719844622479283
17,$A_{18}$,0.6062772217122397,0.4352278766966544,0.8245789937508413
18,$A_{19}$,0.43947686936646124,0.6853838357594,0.257716719043474
19,$A_{20}$,0.4614076642208553,0.6485999826427051,0.31794983992410286
20,$A_{21}$,0.3284798723487708,1.0,0.038719276961981804
21,$A_{22}$,0.5075320908780918,0.6084036546536379,0.4915769320371911
22,$A_{23}$,0.542270039712443,0.5401653842237968,0.6211556358100304
23,$A_{24}$,0.7552646294693137,0.05542877372941367,0.9900961103308442
24,$A_{25}$,0.708976425029325,0.052966379813450204,0.961456490498414
25,$A_{26}$,0.5129660365196202,0.6802799032361153,0.516389446196696
