Ai,TOPSIS,VIKOR,COMET,TOPSIS,VIKOR,COMET
$A_{1}$,0.633465364067952,0.624832008728498,0.7601641607120544,7,13,10
$A_{2}$,0.3602894046360274,0.8721564296399801,0.08079200808617286,24,25,25
$A_{3}$,0.690663912428272,0.4657213202402781,0.8286957703822704,2,9,6
$A_{4}$,0.5520372050769214,0.36551073017234337,0.7439100135332479,12,6,11
$A_{5}$,0.48886779555995485,0.6508451093058598,0.5937784782404836,16,15,14
$A_{6}$,0.6806846165189467,0.13259017318794164,0.9344372335353309,4,3,2
$A_{7}$,0.6853047502140587,0.2896010236601355,0.9257172896307101,3,5,3
$A_{8}$,0.38610216827700455,0.6677255913925175,0.19230027713737846,23,18,24
$A_{9}$,0.4900810693676399,0.6560781508129782,0.6259645479638951,15,16,13
$A_{10}$,0.5649443800255728,0.5209848228165439,0.7898905984473008,11,11,8
$A_{11}$,0.4347456108419285,0.7204308840034828,0.23958575519206515,21,22,23
$A_{12}$,0.5240611130177284,0.6691506472574774,0.42147026920446395,13,19,19
$A_{13}$,0.5229982862781931,0.7337769986959453,0.4682720109240418,14,23,18
$A_{14}$,0.46281800977472126,0.6489148220319636,0.5252706565680493,18,14,15
$A_{15}$,0.6754590029232029,0.5091713767747366,0.8128373529457806,5,10,7
$A_{16}$,0.6354706625554742,0.28178746576883773,0.7811772435326331,6,4,9
$A_{17}$,0.46001463391948727,0.7080625308614764,0.4969844622479283,19,21,16
$A_{18}$,0.6062772217122397,0.39886424033301804,0.8779123270841747,9,7,4
$A_{19}$,0.4394768693664613,0.6742727246482889,0.257716719043474,20,20,22
$A_{20}$,0.4048859250904205,0.6663777604204829,0.26688601013686886,22,17,21
$A_{21}$,0.3284798723487708,1.0,0.038719276961981804,25,26,26
$A_{22}$,0.48454358513096535,0.5742573131902232,0.46832111808370275,17,12,17
$A_{23}$,0.5867144841568874,0.39962484368325624,0.6650580748344207,10,8,12
$A_{24}$,0.888597962802647,0.05542877372941368,1.1234294436641776,1,2,1
$A_{25}$,0.620087536140436,0.052966379813450204,0.8725676016095252,8,1,5
$A_{26}$,0.3163558670280948,0.7827189276263593,0.30586313040722235,26,24,20
