Ai,Economic,Environmental,Social
$A_{1}$,0.519416288,0.631223835,0.513195848
$A_{2}$,0.31257562,0.381356213,0.200842415
$A_{3}$,0.5566043,0.493072432,0.693528687
$A_{4}$,0.565651957,0.635081488,0.672921134
$A_{5}$,0.553507872,0.577463369,0.544191948
$A_{6}$,0.611983863,0.774556899,0.704869398
$A_{7}$,0.621162104,0.646412747,0.685888745
$A_{8}$,0.394576582,0.456397037,0.387528514
$A_{9}$,0.537033211,0.586062847,0.571168058
$A_{10}$,0.591770306,0.609853741,0.495764881
$A_{11}$,0.358157573,0.397227743,0.562522161
$A_{12}$,0.356453186,0.472388008,0.583505198
$A_{13}$,0.254915984,0.627314108,0.554955484
$A_{14}$,0.47159037,0.625270373,0.509387394
$A_{15}$,0.521758441,0.630426406,0.61450773
$A_{16}$,0.366367655,0.530477669,0.716283044
$A_{17}$,0.530921423,0.575366232,0.494914193
$A_{18}$,0.551334757,0.609375224,0.704706086
$A_{19}$,0.346795592,0.376752341,0.569148378
$A_{20}$,0.435963359,0.55782799,0.488240057
$A_{21}$,0.325078035,0.24711367,0.455195692
$A_{22}$,0.444928054,0.486553756,0.554144182
$A_{23}$,0.442385704,0.507553268,0.768327865
$A_{24}$,0.933180412,0.79424707,0.653784963
$A_{25}$,0.791703968,0.764698454,0.623739321
$A_{26}$,0.502263877,0.629191636,0.41084686
