Ai,2015,2016,2017,2018,2019
$A_{1}$,0.6350991718700132,0.7306723263859859,0.7214913718093233,0.7149768848019686,0.6832410837889775
$A_{2}$,0.05865923088498216,0.07070776125586853,0.06261268298917134,0.07923334993108917,0.08079200808617286
$A_{3}$,0.5448737232648594,0.6050448500765192,0.6743651639898365,0.6703432068383053,0.7319215768338833
$A_{4}$,0.8961164817659983,0.8742397153282891,0.8711757605175605,0.8794233175041142,0.807910013533248
$A_{5}$,0.7271149344999098,0.7327430880066951,0.688530561532755,0.689521274425568,0.6565235762796993
$A_{6}$,0.9035507147527423,0.8996384703074128,0.9321697553402557,0.9164648883920875,0.934437233535331
$A_{7}$,0.8645753626296017,0.8755185506058603,0.8868324391729657,0.9004989708040461,0.887622051535472
$A_{8}$,0.2488963594424785,0.23889640950266877,0.2548298770118134,0.31946083442416184,0.2256336104707118
$A_{9}$,0.7417688033417634,0.7694589134790899,0.7764192643047586,0.7246944869235615,0.6977594197587669
$A_{10}$,0.7239119881276701,0.6991117522725276,0.7442000337726794,0.7174102950579739,0.7047842154685774
$A_{11}$,0.10346228646234254,0.12306400340837967,0.15542721972875603,0.18266202279499133,0.23286306611643495
$A_{12}$,0.13070662034843342,0.2073077370343373,0.2964076926830505,0.44087476151900795,0.38300873074292546
$A_{13}$,0.23314842805474242,0.27752408171457504,0.31136525893568207,0.25515535928405897,0.4278679705200014
$A_{14}$,0.37482114515637166,0.60114111864708,0.5608926289746753,0.6704771521696058,0.5577030890004817
$A_{15}$,0.6681219668650639,0.6448656933502573,0.636575466608924,0.6784089694796428,0.7247017597254417
$A_{16}$,0.24896710582218662,0.2731876551468283,0.2803132031114513,0.6815865610054503,0.6526058149612045
$A_{17}$,0.6977682579637459,0.7020499467666872,0.6841272119121667,0.6290773369370835,0.5719844622479283
$A_{18}$,0.790069457811956,0.8318033606675743,0.8060801371799127,0.8580876874606324,0.8245789937508413
$A_{19}$,0.20620922658671176,0.19744650791733448,0.2172581050826124,0.23046257547474017,0.257716719043474
$A_{20}$,0.3338354654593069,0.3728373205206553,0.3106391886646478,0.3439835478842689,0.31794983992410286
$A_{21}$,0.012825150039453689,0.013335991930299723,0.019478391786193337,0.028630265370258916,0.038719276961981804
$A_{22}$,0.32585370770989375,0.3865638235132849,0.4766012760479837,0.5372951096489045,0.4915769320371911
$A_{23}$,0.3023481232226857,0.4016622112192121,0.42714937959492183,0.6085251278272137,0.6211556358100304
$A_{24}$,0.9862379964015132,0.9913560798734842,0.9911875591518233,0.9880924834399989,0.9900961103308442
$A_{25}$,0.9889848232400282,0.9759005048508702,0.9738513043872216,0.9560463268580154,0.961456490498414
$A_{26}$,0.8027134681393546,0.7568218277370347,0.7093196834289844,0.6143805850508532,0.516389446196696
