,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
$A_{1}$,1.0,0.4431818181818182,0.10353885094799181,0.4246575342465754,0.6052631578947368,0.7532710280373831,0.41772151898734183,0.6903328050713152,0.38095238095238093,0.4340425531914893
$A_{2}$,0.17255717255717265,0.9147727272727273,0.11877358040021015,0.0,0.0,0.302803738317757,0.6413502109704641,0.3760697305863709,0.2904761904761904,0.0
$A_{3}$,0.6444906444906445,0.6761363636363636,0.12001528248722482,0.3972602739726028,0.4000000000000001,0.308411214953271,0.810126582278481,0.694136291600634,0.7190476190476189,0.6085106382978723
$A_{4}$,0.8648648648648649,0.5284090909090909,0.32833468647022307,0.9315068493150686,0.7210526315789473,0.6392523364485981,0.5063291139240506,0.8621236133122028,0.3952380952380953,0.7914893617021277
$A_{5}$,0.8877338877338877,0.0,0.09551554515497396,0.7808219178082191,0.6105263157894737,1.0,0.6455696202531646,0.9329001584786055,0.1714285714285714,0.5319148936170213
$A_{6}$,0.7546777546777548,0.9318181818181817,0.5614881321935146,0.6575342465753425,0.9631578947368421,0.28224299065420566,0.620253164556962,0.8036450079239302,0.5238095238095238,0.6170212765957447
$A_{7}$,0.9542619542619544,1.0,0.28487511342470995,0.8904109589041095,0.8947368421052632,0.49719626168224296,0.6118143459915611,0.374960380348653,0.2809523809523809,0.6553191489361703
$A_{8}$,0.4490644490644491,0.37500000000000006,0.12555518410621333,0.35616438356164387,0.4526315789473685,0.04859813084112152,0.5485232067510548,0.8954041204437402,0.37142857142857144,0.574468085106383
$A_{9}$,0.918918918918919,0.5738636363636364,0.09938392473375042,0.863013698630137,0.631578947368421,0.31401869158878504,0.5443037974683544,0.7572107765451666,0.37142857142857144,0.6936170212765957
$A_{10}$,0.8794178794178795,0.5340909090909092,0.22465256220449883,0.6438356164383561,0.6052631578947368,0.5140186915887851,0.6540084388185654,0.6862123613312203,0.3047619047619047,0.5148936170212767
$A_{11}$,0.1663201663201663,0.9943181818181818,0.14609102631453272,0.21917808219178075,0.16315789473684217,0.0897196261682243,0.7257383966244726,0.0,0.15714285714285708,1.0
$A_{12}$,0.4553014553014553,0.4261363636363636,0.050957543340178615,0.589041095890411,0.15789473684210525,0.5813084112149532,0.16877637130801687,0.3597464342313788,0.37142857142857144,0.29361702127659584
$A_{13}$,0.17255717255717265,0.6363636363636364,0.44529347151248877,0.05479452054794525,0.4789473684210526,0.2897196261682243,0.1561181434599157,0.8461172741679874,0.40476190476190477,0.6170212765957447
$A_{14}$,0.4844074844074845,0.5909090909090908,0.32871674865084294,0.21917808219178075,0.7421052631578947,0.3719626168224299,0.46835443037974683,0.560729001584786,0.0,0.923404255319149
$A_{15}$,0.891891891891892,0.3238636363636363,0.07015616791632838,0.4931506849315069,0.7000000000000001,0.6392523364485981,0.5780590717299577,0.9461172741679872,0.30000000000000004,0.48510638297872344
$A_{16}$,0.17879417879417883,0.6875,0.16213763790056832,0.4657534246575343,0.2526315789473685,0.3551401869158879,0.1139240506329115,0.6270998415213946,1.0,0.6680851063829788
$A_{17}$,0.9646569646569647,0.06250000000000007,0.05100530111275611,0.9315068493150686,0.6473684210526316,0.7214953271028036,0.5232067510548524,0.9909667194928685,0.14285714285714285,0.37872340425531925
$A_{18}$,0.7214137214137214,0.4715909090909091,0.16180333349252593,0.6027397260273972,0.5526315789473685,0.8168224299065421,0.6919831223628692,0.9207606973058637,0.5,0.5702127659574469
$A_{19}$,0.13097713097713107,0.7613636363636364,0.12374038874826879,0.3013698630136986,0.06315789473684207,0.36074766355140186,0.6835443037974684,0.565768621236133,0.5095238095238095,0.8723404255319149
$A_{20}$,0.8191268191268192,0.15909090909090912,0.12245092888867667,0.5753424657534246,0.7736842105263158,0.3102803738317757,0.0,0.7565768621236133,0.014285714285714235,0.672340425531915
$A_{21}$,0.0,0.2045454545454546,0.0,0.041095890410959,0.41578947368421043,0.0,0.6455696202531646,0.04437400950871639,0.5380952380952382,0.5617021276595745
$A_{22}$,0.7484407484407484,0.7329545454545454,0.11671999617937823,0.5616438356164384,0.17894736842105255,0.7644859813084113,0.05063291139240518,0.3248811410459588,0.1476190476190476,0.7276595744680852
$A_{23}$,0.2474012474012475,0.7386363636363635,0.08185682219781272,0.5753424657534246,0.3157894736842105,0.03177570093457946,0.9198312236286919,0.4231378763866878,0.638095238095238,0.8085106382978723
$A_{24}$,0.8939708939708939,0.8011363636363636,1.0,0.684931506849315,1.0,0.5121495327102804,1.0,0.7622820919175911,0.19999999999999996,0.8085106382978723
$A_{25}$,0.7442827442827443,0.75,0.9451263193084677,1.0,0.994736842105263,0.6411214953271027,0.8607594936708861,0.9207606973058637,0.2857142857142857,0.6553191489361703
$A_{26}$,0.8814968814968815,0.5284090909090909,0.03137685658340895,0.9726027397260274,0.7894736842105263,0.5626168224299065,0.561181434599156,1.0,0.15714285714285708,0.4127659574468085
Weights,0.1191823636542626,0.0999731759305019,0.11430687442787736,0.10594692834930525,0.10238245838688927,0.10236797369688119,0.091779759941956,0.11011226474750777,0.08129991967067161,0.07264828119414718
Types,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0
