,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,Efficiency,Rank
$A_{1}$,0.11547974039935453,0.0505290918986933,0.008330125842324381,0.06386260623830282,0.06285756946979842,0.07445725982299482,0.037356355172527306,0.07093477309838087,0.04064901459101775,0.05069808214916619,0.5669506486037148,9.0
$A_{2}$,0.013368344331944974,0.09205299910256995,0.010452552541613924,0.013366592003365714,0.022956677545491598,0.03507917090967886,0.05769481521090328,0.04130418181716402,0.021248348536213827,0.010224823290588134,0.3527012609300998,25.0
$A_{3}$,0.08703645458670564,0.06603802109532193,0.01103768270933786,0.05049601423493711,0.026236202909133265,0.03628286795069725,0.07969355770139157,0.06991833909393164,0.07898842608027315,0.06944359151524444,0.5562245674728522,13.0
$A_{4}$,0.10552459036492741,0.04802765170568868,0.033347100195103146,0.09802167469134852,0.06723026995465399,0.06671920741644803,0.043582414367948526,0.08624288522599499,0.03880133210960786,0.07157376303411697,0.6363022194077493,5.0
$A_{5}$,0.11064438181120423,0.0,0.008500345527480437,0.08316990579871995,0.061217806787977606,0.09629576328147137,0.056034532758790945,0.09097700360429334,0.02448179287868115,0.046437739111421135,0.5565790098418621,12.0
$A_{6}$,0.09585387318862679,0.09605530341137736,0.05625228657891464,0.06683296001682854,0.09838576090924972,0.0290606857045869,0.05520439153273479,0.07849642607087437,0.04526822079454249,0.07157376303411697,0.6652193844720796,3.0
$A_{7}$,0.1240127261431492,0.09205299910256995,0.02903309504942942,0.09950685158061137,0.08472107189407614,0.04556853083855342,0.06226059195421217,0.03734624940589961,0.040187093970665284,0.06049687113597983,0.6407336725828543,4.0
$A_{8}$,0.04863801873962962,0.042524483281078516,0.015069761501471886,0.046040483567148544,0.05957804410615678,0.015476104813093616,0.058109885823931354,0.08701291098694137,0.03556788776714054,0.045585670503872126,0.4557274860947892,21.0
$A_{9}$,0.11832406898061942,0.054031108168899764,0.008010963932656781,0.0846550826879828,0.06887003263647481,0.04075374267447984,0.04565776743308892,0.0765713616685084,0.025405634119386095,0.05666256240200927,0.5682677423853226,8.0
$A_{10}$,0.10836891894619231,0.04802765170568868,0.022245585103831775,0.07128849068461711,0.06887003263647481,0.05846528484946476,0.05894002704998752,0.06529818452825334,0.032796364045025686,0.03962119025102904,0.5703231945369011,7.0
$A_{11}$,0.01991030006885423,0.09905703164298289,0.015724043416290464,0.028218360895994266,0.021863502424277717,0.024417854260658813,0.06516608624540873,0.0,0.02586755473973857,0.09202340961529326,0.41723798822422137,24.0
$A_{12}$,0.05262007875340046,0.0845486785235561,0.0030533156024867155,0.060892252459777106,0.045366767530376266,0.06654725069630253,0.05686467398484711,0.034959169546965825,0.03880133210960786,0.054958425186911256,0.49263872582748325,19.0
$A_{13}$,0.008248552885668179,0.07054061344273024,0.04517204894828775,0.028218360895994266,0.04482017996976931,0.02424589754051333,0.014112400842954754,0.0951597835377541,0.035105967146788056,0.06646135138882292,0.4388472302462021,22.0
$A_{14}$,0.06684172165972492,0.06503744501812009,0.035299307209236644,0.05049601423493711,0.08636083457589698,0.07119008214023062,0.050223544176397815,0.059908004201628645,0.0,0.08733703227377371,0.5568661775337443,11.0
$A_{15}$,0.10780005322993934,0.042524483281078516,0.007356682017838201,0.054951544902725684,0.07214955800011646,0.06517159693513866,0.035696072720414966,0.09255709646575533,0.034644046526435594,0.054958425186911256,0.5578090637855165,10.0
$A_{16}$,0.07452140882914011,0.09655559144997827,0.020458278409693206,0.046040483567148544,0.03607477900005824,0.045224617398262446,0.018263106973235563,0.06693063914145968,0.09146028282978994,0.08265065493225414,0.5553735708638992,14.0
$A_{17}$,0.12003066612937836,0.0035020162702064624,0.0015958095483380038,0.09059579024503424,0.06832344507586785,0.0770366106251771,0.046072838046117004,0.09640722527048724,0.021710269156566306,0.028544298352891892,0.5418808901158015,15.0
$A_{18}$,0.0932939774654884,0.051529667975895144,0.016660251684648762,0.07425884446314282,0.04809970533341098,0.08013183158779583,0.0684866511496334,0.09683843969661722,0.061435442506879094,0.06177497404730335,0.6230132611898067,6.0
$A_{19}$,0.020194732926980704,0.07004032540412931,0.011000447153209976,0.03118871467451998,0.0,0.03989395907375242,0.06350580379329641,0.057135911462221675,0.051273188859124665,0.08265065493225414,0.4316436183010835,23.0
$A_{20}$,0.10438685893242146,0.02401382585284434,0.013947375452474155,0.04158495289935998,0.07378932068193729,0.03095220962618723,0.0,0.07352205965516072,0.00923841240704949,0.07540807176808755,0.4700944394463334,20.0
$A_{21}$,0.0,0.03852217897227112,0.005399155638543579,0.0,0.02350326510609855,0.0,0.06973186298871761,0.017248577045199,0.05358279196088704,0.05410635657936225,0.31019036972815495,26.0
$A_{22}$,0.09613830604675329,0.0675388852111247,0.01054298174935308,0.07722919824166853,0.032795253636416576,0.08219531222954164,0.017432965747179403,0.04928164870056857,0.01847682481409898,0.06944359151524444,0.5210705446851392,18.0
$A_{23}$,0.030718748677660807,0.08304781440775334,0.010899379215148565,0.07128849068461711,0.040447479484913784,0.04333309347666211,0.09048539364012169,0.04435348383051171,0.0762169023581583,0.08265065493225414,0.540184192511826,16.0
$A_{24}$,0.11092881466933072,0.07204147755853302,0.1074884118108868,0.0787143751309314,0.09783917334864277,0.053650496685391194,0.09256074670526208,0.07407647820304211,0.028639078461853422,0.07327790024921502,0.7439424775907545,1.0
$A_{25}$,0.08845861887733808,0.054031108168899764,0.09554111765899627,0.09505132091282281,0.09893234846985667,0.059668981890483155,0.07927848708836349,0.0894769934219698,0.03372020528573063,0.041751361769901574,0.7000692767842585,2.0
$A_{26}$,0.11803963612249295,0.0400230430880739,0.0,0.10099202846987423,0.07761543360618589,0.056745717648009925,0.038601567011611534,0.09717725103143363,0.01524338047163166,0.0,0.5370770375425302,17.0
Weights,0.1240127261431492,0.09905703164298289,0.1074884118108868,0.10099202846987423,0.09893234846985667,0.09629576328147137,0.09256074670526208,0.09717725103143363,0.09146028282978994,0.09202340961529326,,
Types,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,,
