Ai,2015,2016,2017,2018,2019
$A_{1}$,0.5366,0.5643,0.5642,0.5670,0.5565
$A_{2}$,0.3361,0.3419,0.3447,0.3527,0.3603
$A_{3}$,0.5135,0.5324,0.5534,0.5562,0.5726
$A_{4}$,0.6416,0.6341,0.6333,0.6363,0.6066
$A_{5}$,0.5601,0.5643,0.5536,0.5566,0.5481
$A_{6}$,0.6558,0.6554,0.6767,0.6652,0.6807
$A_{7}$,0.6181,0.6261,0.6318,0.6407,0.6331
$A_{8}$,0.4284,0.4263,0.4320,0.4557,0.4194
$A_{9}$,0.5659,0.5779,0.5818,0.5683,0.5601
$A_{10}$,0.5627,0.5582,0.5737,0.5703,0.5649
$A_{11}$,0.3741,0.3839,0.4013,0.4172,0.4347
$A_{12}$,0.3673,0.4076,0.4438,0.4926,0.4755
$A_{13}$,0.4200,0.4362,0.4528,0.4388,0.4913
$A_{14}$,0.4659,0.5348,0.5247,0.5569,0.5248
$A_{15}$,0.5474,0.5429,0.5430,0.5578,0.5702
$A_{16}$,0.4294,0.4399,0.4467,0.5554,0.5461
$A_{17}$,0.5522,0.5560,0.5528,0.5419,0.5267
$A_{18}$,0.5867,0.6053,0.5952,0.6230,0.6063
$A_{19}$,0.4124,0.4114,0.4222,0.4316,0.4395
$A_{20}$,0.4615,0.4748,0.4584,0.4701,0.4614
$A_{21}$,0.2643,0.2638,0.2870,0.3102,0.3285
$A_{22}$,0.4546,0.4744,0.5012,0.5211,0.5075
$A_{23}$,0.4443,0.4766,0.4852,0.5402,0.5423
$A_{24}$,0.7311,0.7553,0.7522,0.7439,0.7553
$A_{25}$,0.7579,0.7220,0.7228,0.7001,0.7090
$A_{26}$,0.5847,0.5737,0.5594,0.5371,0.5130
