Ai,2015,2016,2017,2018,2019
$A_{1}$,0.587395357608566,0.5287591285377238,0.5411169759265477,0.5155313186326129,0.5667674925994658
$A_{2}$,0.8362056438730706,0.8189275384821464,0.8511024481199361,0.8463506556183792,0.87215642963998
$A_{3}$,0.5806535867265695,0.5331782411131587,0.5249067064535486,0.4950882224317579,0.519567474086432
$A_{4}$,0.2684461804913889,0.2815633877152562,0.2861822467962862,0.24719007732549247,0.32741549207710535
$A_{5}$,0.558172956182814,0.5199112561448008,0.5480965372314559,0.5122967640717278,0.5694891771024699
$A_{6}$,0.22863901463096242,0.240574282724034,0.20436191401940276,0.162917547416319,0.1325901731879416
$A_{7}$,0.31893591197267496,0.31136998009194233,0.31598500558197573,0.26445148477105934,0.32293435699346895
$A_{8}$,0.671033126971154,0.6443543645809164,0.6561456328435196,0.5799805467157055,0.6677255913925175
$A_{9}$,0.55322958783731,0.5108014418556268,0.5192601897271698,0.5143464525361452,0.5655121130771291
$A_{10}$,0.44982480458900526,0.4453719273181326,0.44013558632699923,0.4117143272151776,0.4621612934047792
$A_{11}$,0.8215283791731034,0.7404673082716716,0.7355249826376016,0.7263279712041846,0.7204308840034828
$A_{12}$,0.7992876500146008,0.7150289930886568,0.6995053585453227,0.6279469113981739,0.6874992711106884
$A_{13}$,0.6815802878463826,0.7158310948961871,0.7106670953167278,0.7765238538268064,0.7127243671169978
$A_{14}$,0.48854474576046747,0.42278205107318934,0.46150279154053075,0.4597870595919227,0.5441529172700588
$A_{15}$,0.6042580117854823,0.5741973298024897,0.5854595698707556,0.5298426778203129,0.5491713767747366
$A_{16}$,0.641766056784209,0.6530801241780525,0.6852240985827408,0.42115981018961757,0.4817874657688378
$A_{17}$,0.6142186860897741,0.5682843326762618,0.582862701096105,0.5865768156200003,0.6405300633290089
$A_{18}$,0.47569448424879796,0.430852685911288,0.4524260078324127,0.3793090231144424,0.4352278766966544
$A_{19}$,0.7042950505206554,0.6867200993235598,0.7088586125672542,0.6913285991486897,0.6853838357594
$A_{20}$,0.658867549442423,0.6173881147210745,0.6510263529373443,0.5948608138342845,0.6485999826427051
$A_{21}$,1.0,1.0,1.0,1.0,1.0
$A_{22}$,0.6604220610310838,0.612152612805787,0.5969920348977145,0.5501332437785345,0.6084036546536379
$A_{23}$,0.681251889818828,0.6054642506529087,0.6167637920136025,0.497772381349621,0.5401653842237968
$A_{24}$,0.07194739001406361,0.0,0.025268548613459136,0.038335021545728584,0.05542877372941367
$A_{25}$,0.0,0.057627953085982994,0.034561042769287224,0.0505635621011861,0.052966379813450204
$A_{26}$,0.5936504736202262,0.5648783944729759,0.5984172505684946,0.60751476778222,0.6802799032361153
