Ai,2015,2016,2017,2018,2019
$A_{1}$,12,11,11,14,14
$A_{2}$,25,25,25,25,25
$A_{3}$,11,12,10,10,9
$A_{4}$,4,4,4,4,5
$A_{5}$,10,10,12,12,15
$A_{6}$,3,3,3,3,3
$A_{7}$,5,5,5,5,4
$A_{8}$,19,19,19,17,19
$A_{9}$,9,9,9,13,13
$A_{10}$,6,8,6,7,7
$A_{11}$,24,24,24,23,24
$A_{12}$,23,22,21,21,22
$A_{13}$,21,23,23,24,23
$A_{14}$,8,6,8,9,11
$A_{15}$,14,15,14,15,12
$A_{16}$,16,20,20,8,8
$A_{17}$,15,14,13,18,17
$A_{18}$,7,7,7,6,6
$A_{19}$,22,21,22,22,21
$A_{20}$,17,18,18,19,18
$A_{21}$,26,26,26,26,26
$A_{22}$,18,17,15,16,16
$A_{23}$,20,16,17,11,10
$A_{24}$,2,1,1,1,2
$A_{25}$,1,2,2,2,1
$A_{26}$,13,13,16,20,20
