,Ai,TOPSIS,VIKOR,COMET
0,$A_{1}$,13,12,13
1,$A_{2}$,25,25,25
2,$A_{3}$,14,11,14
3,$A_{4}$,4,4,4
4,$A_{5}$,10,10,9
5,$A_{6}$,3,3,3
6,$A_{7}$,5,5,5
7,$A_{8}$,20,19,20
8,$A_{9}$,8,9,8
9,$A_{10}$,9,6,10
10,$A_{11}$,23,24,24
11,$A_{12}$,24,23,23
12,$A_{13}$,21,21,21
13,$A_{14}$,15,8,15
14,$A_{15}$,12,14,12
15,$A_{16}$,19,16,19
16,$A_{17}$,11,15,11
17,$A_{18}$,6,7,7
18,$A_{19}$,22,22,22
19,$A_{20}$,16,17,16
20,$A_{21}$,26,26,26
21,$A_{22}$,17,18,17
22,$A_{23}$,18,20,18
23,$A_{24}$,2,2,2
24,$A_{25}$,1,1,1
25,$A_{26}$,7,13,6
