,$A_{1} crit$,$A_{1}$,$A_{2} crit$,$A_{2}$,$A_{3} crit$,$A_{3}$,$A_{4} crit$,$A_{4}$,$A_{5} crit$,$A_{5}$,$A_{6} crit$,$A_{6}$,$A_{7} crit$,$A_{7}$,$A_{8} crit$,$A_{8}$,$A_{9} crit$,$A_{9}$,$A_{10} crit$,$A_{10}$,$A_{11} crit$,$A_{11}$,$A_{12} crit$,$A_{12}$,$A_{13} crit$,$A_{13}$,$A_{14} crit$,$A_{14}$,$A_{15} crit$,$A_{15}$,$A_{16} crit$,$A_{16}$,$A_{17} crit$,$A_{17}$,$A_{18} crit$,$A_{18}$,$A_{19} crit$,$A_{19}$,$A_{20} crit$,$A_{20}$,$A_{21} crit$,$A_{21}$,$A_{22} crit$,$A_{22}$,$A_{23} crit$,$A_{23}$,$A_{24} crit$,$A_{24}$,$A_{25} crit$,$A_{25}$,$A_{26} crit$,$A_{26}$
0,$C_{1}$ $\downarrow$,0.19530516431924883,$C_{5}$ $\uparrow$,0.053357865685372576,$C_{10}$ $\uparrow$,0.10020533880903493,$C_{5}$ $\uparrow$,0.05257142857142859,$C_{5}$ $\uparrow$,0.03359746434231378,$C_{10}$ $\uparrow$,0.10023201856148492,$C_{1}$ $\uparrow$,0.07044025157232703,$C_{10}$ $\downarrow$,0.06511627906976741,$C_{7}$ $\uparrow$,0.05464480874316941,$C_{5}$ $\uparrow$,0.04776119402985074,$C_{6}$ $\uparrow$,0.09720575783234547,$C_{10}$ $\uparrow$,0.1390787518573551,$C_{10}$ $\uparrow$,0.1204494382022472,$C_{10}$ $\uparrow$,0.1939393939393939,$C_{4}$ $\uparrow$,0.11496062992125984,$C_{10}$ $\uparrow$,0.1702127659574468,$C_{1}$ $\downarrow$,0.061083743842364535,$C_{10}$ $\uparrow$,0.0861878453038674,$C_{10}$ $\uparrow$,0.055384615384615365,$C_{10}$ $\uparrow$,0.09340101522842638,$C_{3}$ $\uparrow$,0.09126069170695422,$C_{4}$ $\uparrow$,0.07121212121212121,$C_{6}$ $\uparrow$,0.16982456140350877,$C_{5}$ $\uparrow$,0.055516014234875455,$C_{4}$ $\uparrow$,0.06666666666666668,$C_{1}$ $\uparrow$,0.16537102473498233
1,$C_{10}$ $\uparrow$,0.050445103857566786,$C_{10}$ $\uparrow$,0.052694610778443104,$C_{5}$ $\uparrow$,0.051025056947608186,$C_{4}$ $\downarrow$,0.04444444444444445,$C_{4}$ $\uparrow$,0.024489795918367356,$C_{4}$ $\uparrow$,0.08311688311688314,$C_{4}$ $\uparrow$,0.062111801242236024,$C_{6}$ $\uparrow$,0.057204301075268804,$C_{9}$ $\downarrow$,0.05297691373025517,$C_{7}$ $\uparrow$,0.045234248788368334,$C_{5}$ $\uparrow$,0.054805725971370144,$C_{7}$ $\uparrow$,0.130316742081448,$C_{6}$ $\uparrow$,0.09910282953761214,$C_{6}$ $\uparrow$,0.07000864304235092,$C_{5}$ $\uparrow$,0.06930693069306933,$C_{1}$ $\uparrow$,0.15320197044334974,$C_{5}$ $\uparrow$,0.036236933797909404,$C_{5}$ $\uparrow$,0.04855491329479769,$C_{5}$ $\uparrow$,0.037630662020905925,$C_{5}$ $\uparrow$,0.049713193116634816,$C_{7}$ $\uparrow$,0.0740740740740741,$C_{5}$ $\uparrow$,0.06590673575129535,$C_{10}$ $\uparrow$,0.08181818181818185,$C_{4}$ $\uparrow$,0.04727272727272729,$C_{10}$ $\downarrow$,0.045625,$C_{10}$ $\downarrow$,0.08854064642507342
2,$C_{4}$ $\uparrow$,0.04827586206896552,$C_{9}$ $\downarrow$,0.03337612323491655,$C_{4}$ $\uparrow$,0.047682119205298,$C_{1}$ $\downarrow$,0.043537414965986405,$C_{7}$ $\uparrow$,0.021316614420062698,$C_{5}$ $\uparrow$,0.06736842105263158,$C_{2}$ $=$,0.03952941176470589,$C_{7}$ $\uparrow$,0.04075691411935953,$C_{10}$ $\downarrow$,0.052038834951456316,$C_{6}$ $\uparrow$,0.024463715198539467,$C_{10}$ $\uparrow$,0.031205673758865238,$C_{2}$ $\uparrow$,0.10945558739255014,$C_{4}$ $\uparrow$,0.06428571428571427,$C_{5}$ $\downarrow$,0.06198347107438015,$C_{7}$ $\downarrow$,0.054631828978622315,$C_{2}$ $\uparrow$,0.09364791288566242,$C_{7}$ $\uparrow$,0.03526315789473685,$C_{7}$ $\uparrow$,0.046153846153846156,$C_{1}$ $\uparrow$,0.026017874875868905,$C_{4}$ $\downarrow$,0.047213114754098354,$C_{10}$ $\uparrow$,0.07248322147651007,$C_{7}$ $\uparrow$,0.04965517241379308,$C_{5}$ $\uparrow$,0.06446886446886446,$C_{1}$ $\downarrow$,0.04534883720930234,$C_{2}$ $\downarrow$,0.04516129032258067,$C_{2}$ $\downarrow$,0.04159292035398232
3,$C_{5}$ $\uparrow$,0.03338582677165355,$C_{4}$ $\uparrow$,0.028025477707006398,$C_{1}$ $\uparrow$,0.04205495818399042,$C_{2}$ $\downarrow$,0.03394994559303592,$C_{1}$ $\downarrow$,0.019672131147540985,$C_{2}$ $\uparrow$,0.05000000000000004,$C_{10}$ $\uparrow$,0.03665987780040733,$C_{5}$ $\uparrow$,0.039944521497919536,$C_{1}$ $\downarrow$,0.04210526315789474,$C_{2}$ $\downarrow$,0.02083333333333334,$C_{4}$ $\uparrow$,0.02687338501291991,$C_{5}$ $\uparrow$,0.07467248908296945,$C_{5}$ $\uparrow$,0.05636114911080713,$C_{7}$ $\uparrow$,0.05319949811794227,$C_{10}$ $\uparrow$,0.053896103896103886,$C_{5}$ $\uparrow$,0.06638115631691648,$C_{10}$ $\uparrow$,0.029362214199759318,$C_{4}$ $\uparrow$,0.03278688524590165,$C_{2}$ $\downarrow$,0.021183800623052966,$C_{7}$ $\uparrow$,0.043722304283604144,$C_{6}$ $\downarrow$,0.048734177215189876,$C_{8}$ $\uparrow$,0.035102792267566775,$C_{7}$ $\uparrow$,0.050666666666666686,$C_{10}$ $\uparrow$,0.03353293413173651,$C_{1}$ $\downarrow$,0.030303030303030297,$C_{7}$ $\downarrow$,0.0326139088729017
4,$C_{2}$ $\uparrow$,0.03225030084235861,$C_{6}$ $\uparrow$,0.02695214105793453,$C_{7}$ $\uparrow$,0.036907730673316715,$C_{10}$ $\uparrow$,0.023711340206185563,$C_{10}$ $\uparrow$,0.017518248175182476,$C_{9}$ $\downarrow$,0.020696517412935333,$C_{7}$ $\uparrow$,0.026291079812206568,$C_{4}$ $\uparrow$,0.03699421965317917,$C_{2}$ $\uparrow$,0.03478260869565218,$C_{4}$ $\uparrow$,0.01912350597609563,$C_{7}$ $\uparrow$,0.02246376811594204,$C_{6}$ $\uparrow$,0.030267558528428096,$C_{7}$ $\uparrow$,0.0421805183199285,$C_{4}$ $\uparrow$,0.04956772334293949,$C_{1}$ $\downarrow$,0.04547803617571061,$C_{7}$ $\uparrow$,0.03845521774856203,$C_{4}$ $\downarrow$,0.027160493827160483,$C_{2}$ $\downarrow$,0.02140468227424748,$C_{9}$ $\downarrow$,0.019904306220095692,$C_{3}$ $\uparrow$,0.025134184712196916,$C_{5}$ $\uparrow$,0.04785949506037321,$C_{10}$ $\uparrow$,0.029807692307692292,$C_{2}$ $\uparrow$,0.041750841750841775,$C_{7}$ $\uparrow$,0.029090909090909098,$C_{5}$ $\uparrow$,0.028865979381443294,$C_{9}$ $\downarrow$,0.021686746987951807
5,$C_{7}$ $\uparrow$,0.02433628318584071,$C_{7}$ $\uparrow$,0.02258064516129033,$C_{6}$ $\uparrow$,0.022636815920398012,$C_{7}$ $\uparrow$,0.021483375959079273,$C_{2}$ $\downarrow$,0.01741787624140565,$C_{6}$ $\uparrow$,0.016434540389972135,$C_{5}$ $\downarrow$,0.024470588235294133,$C_{3}$ $\uparrow$,0.02996821552898441,$C_{6}$ $\uparrow$,0.030914454277286136,$C_{1}$ $\downarrow$,0.016537467700258376,$C_{9}$ $\uparrow$,0.0216358839050132,$C_{9}$ $\downarrow$,0.012026726057906473,$C_{9}$ $\downarrow$,0.024581005586592194,$C_{9}$ $\downarrow$,0.036885245901639344,$C_{3}$ $\uparrow$,0.02408553742262242,$C_{3}$ $\uparrow$,0.03443346984662332,$C_{2}$ $\downarrow$,0.02017067494181539,$C_{1}$ $\downarrow$,0.0189445196211096,$C_{7}$ $\uparrow$,0.01730103806228374,$C_{1}$ $\uparrow$,0.022857142857142864,$C_{8}$ $\uparrow$,0.03731211317418215,$C_{1}$ $\uparrow$,0.028481012658227854,$C_{3}$ $\uparrow$,0.03994150825151448,$C_{2}$ $\downarrow$,0.026923076923076942,$C_{7}$ $\uparrow$,0.02493224932249322,$C_{5}$ $\downarrow$,0.009486166007905134
6,$C_{9}$ $\downarrow$,0.007367280606717239,$C_{2}$ $\uparrow$,0.021757322175732216,$C_{2}$ $\downarrow$,0.014730878186968837,$C_{9}$ $\downarrow$,0.01836065573770493,$C_{9}$ $\uparrow$,0.011413043478260857,$C_{1}$ $\downarrow$,0.01616766467065869,$C_{9}$ $\uparrow$,0.022477064220183477,$C_{9}$ $\downarrow$,0.018079096045197758,$C_{5}$ $\uparrow$,0.025375626043405673,$C_{10}$ $\downarrow$,0.014344827586206903,$C_{3}$ $\uparrow$,0.0179803881866304,$C_{4}$ $\uparrow$,0.011678832116788305,$C_{2}$ $\uparrow$,0.022093023255813943,$C_{2}$ $\uparrow$,0.033666191155492166,$C_{2}$ $\downarrow$,0.020218037661050552,$C_{6}$ $\uparrow$,0.026484018264840148,$C_{6}$ $\uparrow$,0.018481848184818486,$C_{9}$ $\uparrow$,0.017818181818181813,$C_{4}$ $=$,0.0125,$C_{6}$ $\downarrow$,0.012719891745602164,$C_{2}$ $\uparrow$,0.03596403596403596,$C_{2}$ $\downarrow$,0.024561403508771923,$C_{4}$ $\uparrow$,0.02957198443579767,$C_{9}$ $\uparrow$,0.026433915211970083,$C_{3}$ $\downarrow$,0.012630038161953072,$C_{6}$ $\uparrow$,0.00346557227542182
7,$C_{8}$ $\uparrow$,0.005864760376395058,$C_{8}$ $\uparrow$,0.01029702970297028,$C_{9}$ $\uparrow$,0.008761329305135969,$C_{6}$ $\uparrow$,0.0171638741315897,$C_{3}$ $\uparrow$,0.00916381895529678,$C_{3}$ $\downarrow$,0.008869214655547197,$C_{6}$ $\downarrow$,0.018357980622131564,$C_{2}$ $\downarrow$,0.009775967413441965,$C_{4}$ $\downarrow$,0.016842105263157884,$C_{9}$ $\downarrow$,0.006611570247933877,$C_{1}$ $\uparrow$,0.016359102244389048,$C_{1}$ $\downarrow$,0.006916426512968296,$C_{8}$ $\uparrow$,0.02013326585695005,$C_{1}$ $\uparrow$,0.026778242677824256,$C_{6}$ $\uparrow$,0.006414473684210536,$C_{9}$ $\downarrow$,0.02180851063829789,$C_{9}$ $\uparrow$,0.008474576271186439,$C_{3}$ $\uparrow$,0.012197159565580616,$C_{6}$ $\uparrow$,0.012035398230088486,$C_{9}$ $\uparrow$,0.009043478260869557,$C_{1}$ $\uparrow$,0.01669477234401351,$C_{6}$ $\uparrow$,0.018907563025210083,$C_{1}$ $\uparrow$,0.021794166208035204,$C_{6}$ $\uparrow$,0.014743896601244607,$C_{9}$ $\uparrow$,0.012293144208037813,$C_{3}$ $\downarrow$,0.0020137043770102206
8,$C_{6}$ $\uparrow$,0.004888888888888895,$C_{1}$ $\uparrow$,0.006330935251798555,$C_{3}$ $\uparrow$,0.007045009784735793,$C_{8}$ $\uparrow$,0.0035505520675471075,$C_{6}$ $=$,0.0016726403823177913,$C_{7}$ $\downarrow$,0.0075801749271137055,$C_{3}$ $\uparrow$,0.002832708674134991,$C_{1}$ $\downarrow$,0.006958942240779391,$C_{8}$ $\uparrow$,0.0035995917988681653,$C_{3}$ $\uparrow$,0.0028314028314028244,$C_{2}$ $\uparrow$,0.014423076923076924,$C_{3}$ $\uparrow$,0.006445386261592049,$C_{1}$ $\downarrow$,0.009995285242810004,$C_{8}$ $\uparrow$,0.010029337995802703,$C_{9}$ $\uparrow$,0.004672897196261683,$C_{4}$ $\uparrow$,0.011320754716981126,$C_{3}$ $\downarrow$,0.007575367173408938,$C_{8}$ $\uparrow$,0.007764239161235481,$C_{3}$ $\uparrow$,0.0037462967092479,$C_{2}$ $\uparrow$,0.005897658282740686,$C_{9}$ $\downarrow$,0.011449676823638033,$C_{9}$ $\downarrow$,0.007048458149779731,$C_{9}$ $\uparrow$,0.015396700706991366,$C_{3}$ $\downarrow$,0.0010854595682608928,$C_{6}$ $\downarrow$,0.010378562313908978,$C_{4}$ $=$,0.0
9,$C_{3}$ $\uparrow$,0.0007830208118689377,$C_{3}$ $\uparrow$,0.0038480225439704507,$C_{8}$ $\uparrow$,0.004207436399217204,$C_{3}$ $\uparrow$,0.00034191281223288055,$C_{8}$ $\uparrow$,0.0003469109497937868,$C_{8}$ $\uparrow$,0.0005466845857725414,$C_{8}$ $\uparrow$,0.0015467295844802627,$C_{8}$ $=$,0.0,$C_{3}$ $\uparrow$,0.0019208685666562365,$C_{8}$ $\downarrow$,0.0026084775520441514,$C_{8}$ $=$,0.0,$C_{8}$ $=$,0.0,$C_{3}$ $\downarrow$,0.003929358453086712,$C_{3}$ $\uparrow$,0.00840402224594126,$C_{8}$ $\uparrow$,0.0007430340557275588,$C_{8}$ $\uparrow$,0.010182323425682482,$C_{8}$ $\uparrow$,0.00015280067553981544,$C_{6}$ $\uparrow$,0.0037486983686220205,$C_{8}$ $\uparrow$,0.00370068027210885,$C_{8}$ $=$,0.0,$C_{4}$ $=$,0.0074226804123711364,$C_{3}$ $\uparrow$,0.006199233218532708,$C_{8}$ $\uparrow$,0.00778739184177998,$C_{8}$ $=$,0.0,$C_{8}$ $=$,0.0,$C_{8}$ $=$,0.0
