Ai,2015,2016,2017,2018,2019
$A_{1}$,0.536617234,0.564309702,0.564185785,0.566950649,0.556542287
$A_{2}$,0.33607097,0.341904177,0.3447253,0.352701261,0.360289405
$A_{3}$,0.513457384,0.532405047,0.553370229,0.556224567,0.572631126
$A_{4}$,0.641617276,0.634090983,0.633293405,0.636302219,0.60658266
$A_{5}$,0.560061034,0.564330726,0.553586839,0.55657901,0.548127055
$A_{6}$,0.655833367,0.655371792,0.676693149,0.665219384,0.680684617
$A_{7}$,0.618125619,0.626109382,0.631760977,0.640733673,0.633130837
$A_{8}$,0.428430516,0.426274207,0.431957869,0.455727486,0.419435502
$A_{9}$,0.565933519,0.577866048,0.581816641,0.568267742,0.560081069
$A_{10}$,0.56266918,0.55823705,0.573749268,0.570323195,0.56494438
$A_{11}$,0.374090802,0.383913698,0.401307597,0.417237988,0.434745611
$A_{12}$,0.367327131,0.40763683,0.443797363,0.492638726,0.475462982
$A_{13}$,0.420014353,0.436215521,0.452832416,0.43884723,0.491315118
$A_{14}$,0.465912592,0.534755763,0.524739845,0.556866178,0.524789841
$A_{15}$,0.547372049,0.542932151,0.543018685,0.557809064,0.570195845
$A_{16}$,0.429350455,0.439896803,0.44666822,0.555373571,0.546058898
$A_{17}$,0.55222924,0.555965865,0.552766814,0.54188089,0.526681301
$A_{18}$,0.586705964,0.605333348,0.595224543,0.623013261,0.606277222
$A_{19}$,0.412391505,0.411368793,0.422224117,0.431643618,0.439476869
$A_{20}$,0.461474022,0.474796697,0.458370045,0.470094439,0.461407664
$A_{21}$,0.264324373,0.263750861,0.287022023,0.31019037,0.328479872
$A_{22}$,0.45464034,0.474448821,0.501216063,0.521070545,0.507532091
$A_{23}$,0.44429204,0.476562057,0.485190151,0.540184193,0.54227004
$A_{24}$,0.731059392,0.755261472,0.752156841,0.743942478,0.755264629
$A_{25}$,0.757915855,0.721978824,0.722801604,0.700069277,0.708976425
$A_{26}$,0.584716693,0.57369406,0.559438335,0.537077038,0.512966037
