Ai,2015,2016,2017,2018,2019
$A_{1}$,0.587395358,0.528759129,0.541116976,0.515531319,0.566767493
$A_{2}$,0.836205644,0.818927538,0.851102448,0.846350656,0.87215643
$A_{3}$,0.580653587,0.533178241,0.524906706,0.495088222,0.519567474
$A_{4}$,0.26844618,0.281563388,0.286182247,0.247190077,0.327415492
$A_{5}$,0.558172956,0.519911256,0.548096537,0.512296764,0.569489177
$A_{6}$,0.228639015,0.240574283,0.204361914,0.162917547,0.132590173
$A_{7}$,0.318935912,0.31136998,0.315985006,0.264451485,0.322934357
$A_{8}$,0.671033127,0.644354365,0.656145633,0.579980547,0.667725591
$A_{9}$,0.553229588,0.510801442,0.51926019,0.514346453,0.565512113
$A_{10}$,0.449824805,0.445371927,0.440135586,0.411714327,0.462161293
$A_{11}$,0.821528379,0.740467308,0.735524983,0.726327971,0.720430884
$A_{12}$,0.79928765,0.715028993,0.699505359,0.627946911,0.687499271
$A_{13}$,0.681580288,0.715831095,0.710667095,0.776523854,0.712724367
$A_{14}$,0.488544746,0.422782051,0.461502792,0.45978706,0.544152917
$A_{15}$,0.604258012,0.57419733,0.58545957,0.529842678,0.549171377
$A_{16}$,0.641766057,0.653080124,0.685224099,0.42115981,0.481787466
$A_{17}$,0.614218686,0.568284333,0.582862701,0.586576816,0.640530063
$A_{18}$,0.475694484,0.430852686,0.452426008,0.379309023,0.435227877
$A_{19}$,0.704295051,0.686720099,0.708858613,0.691328599,0.685383836
$A_{20}$,0.658867549,0.617388115,0.651026353,0.594860814,0.648599983
$A_{21}$,1,1,1,1,1
$A_{22}$,0.660422061,0.612152613,0.596992035,0.550133244,0.608403655
$A_{23}$,0.68125189,0.605464251,0.616763792,0.497772381,0.540165384
$A_{24}$,0.07194739,0,0.025268549,0.038335022,0.055428774
$A_{25}$,0,0.057627953,0.034561043,0.050563562,0.05296638
$A_{26}$,0.593650474,0.564878394,0.598417251,0.607514768,0.680279903
