Ai,2015,2016,2017,2018,2019
$A_{1}$,0.635099172,0.730672326,0.721491372,0.714976885,0.683241084
$A_{2}$,0.058659231,0.070707761,0.062612683,0.07923335,0.080792008
$A_{3}$,0.544873723,0.60504485,0.674365164,0.670343207,0.731921577
$A_{4}$,0.896116482,0.874239715,0.871175761,0.879423318,0.807910014
$A_{5}$,0.727114934,0.732743088,0.688530562,0.689521274,0.656523576
$A_{6}$,0.903550715,0.89963847,0.932169755,0.916464888,0.934437234
$A_{7}$,0.864575363,0.875518551,0.886832439,0.900498971,0.887622052
$A_{8}$,0.248896359,0.23889641,0.254829877,0.319460834,0.22563361
$A_{9}$,0.741768803,0.769458913,0.776419264,0.724694487,0.69775942
$A_{10}$,0.723911988,0.699111752,0.744200034,0.717410295,0.704784215
$A_{11}$,0.103462286,0.123064003,0.15542722,0.182662023,0.232863066
$A_{12}$,0.13070662,0.207307737,0.296407693,0.440874762,0.383008731
$A_{13}$,0.233148428,0.277524082,0.311365259,0.255155359,0.427867971
$A_{14}$,0.374821145,0.601141119,0.560892629,0.670477152,0.557703089
$A_{15}$,0.668121967,0.644865693,0.636575467,0.678408969,0.72470176
$A_{16}$,0.248967106,0.273187655,0.280313203,0.681586561,0.652605815
$A_{17}$,0.697768258,0.702049947,0.684127212,0.629077337,0.571984462
$A_{18}$,0.790069458,0.831803361,0.806080137,0.858087687,0.824578994
$A_{19}$,0.206209227,0.197446508,0.217258105,0.230462575,0.257716719
$A_{20}$,0.333835465,0.372837321,0.310639189,0.343983548,0.31794984
$A_{21}$,0.01282515,0.013335992,0.019478392,0.028630265,0.038719277
$A_{22}$,0.325853708,0.386563824,0.476601276,0.53729511,0.491576932
$A_{23}$,0.302348123,0.401662211,0.42714938,0.608525128,0.621155636
$A_{24}$,0.986237996,0.99135608,0.991187559,0.988092483,0.99009611
$A_{25}$,0.988984823,0.975900505,0.973851304,0.956046327,0.96145649
$A_{26}$,0.802713468,0.756821828,0.709319683,0.614380585,0.516389446
