Ai,TOPSIS,TOPSIS dir,VIKOR,VIKOR dir,COMET,COMET dir
$A_{1}$,0.009816267112306182,1,0.026544021024967154,1,0.026325962654359603,1
$A_{2}$,0.013650805389587751,1,0.01150350312440825,-1,0.06918789823098921,1
$A_{3}$,0.020844926645233186,1,0.027857546636517815,1,0.05497094112969644,1
$A_{4}$,0.009274197532560109,-1,0.050524525092146305,-1,0.01706317758850842,-1
$A_{5}$,0.005589068355896177,-1,0.02255539143279173,-1,0.021866022015630694,-1
$A_{6}$,0.00857704511236512,1,0.11627283046125272,1,0.008566155887965901,1
$A_{7}$,0.006633635133874547,1,0.032418334746038995,-1,0.007605872358820197,1
$A_{8}$,0.014481765915638758,-1,0.025509443339960258,1,0.0632399512535785,-1
$A_{9}$,0.007765150957514231,-1,0.022274792535015582,-1,0.02178745216423545,-1
$A_{10}$,0.005467067478833872,1,0.020043454644215093,-1,0.012180729951393994,-1
$A_{11}$,0.030753092806300106,1,0.023118423161155918,1,0.15970313475421943,1
$A_{12}$,0.05824769770034689,1,0.0419698515244248,1,0.21834581424202962,1
$A_{13}$,0.02844170652609622,1,0.021671809412615012,-1,0.11844010486912465,1
$A_{14}$,0.02944662254213535,1,0.045691686300908786,-1,0.09182524101699172,1
$A_{15}$,0.010041222509057892,1,0.026071051705944398,1,0.025030273866280893,1
$A_{16}$,0.05927294454148352,1,0.09702056813846208,1,0.23300981381064995,1
$A_{17}$,0.010178338670179398,-1,0.023485380116959043,-1,0.04003910729917859,-1
$A_{18}$,0.011094416161649145,1,0.03943869335173683,1,0.01574066163105814,1
$A_{19}$,0.014258767230420412,1,0.007432549042167635,1,0.05222059917647996,1
$A_{20}$,0.007143168992637814,-1,0.020386022454900996,1,0.035832755668594944,-1
$A_{21}$,0.04823990607042729,1,0.0,0,0.23748323067975177,1
$A_{22}$,0.026994696743130518,1,0.031148244773950656,1,0.09520683346522664,1
$A_{23}$,0.04172445962606154,1,0.060320913788414476,1,0.14308089866629267,1
$A_{24}$,0.006392135346269534,1,0.36437925615505495,1,0.0010779320178273925,1
$A_{25}$,0.014344140366383352,-1,0.2729315628192033,-1,0.006615901694595372,-1
$A_{26}$,0.026029675058551045,-1,0.032133473462953255,-1,0.08413743102801798,-1
