Ai,2015,2016,2017,2018,2019
$A_{1}$,0.5233408975617451,0.5429700219049225,0.5104690572533636,0.5233905335891427,0.5194162877239102
$A_{2}$,0.3290253682691306,0.32166441222062847,0.29993441860824827,0.3080619207444645,0.3125756196487133
$A_{3}$,0.5139142906715003,0.5311204524391254,0.5331431882451189,0.556996293973129,0.5566043001147695
$A_{4}$,0.569726171540988,0.6030397923799153,0.5783851788687593,0.5709578892733058,0.5656519574386284
$A_{5}$,0.5387605830586129,0.5592606819659842,0.5433273176321776,0.5537978167974297,0.5535078717847666
$A_{6}$,0.6478210252914126,0.6676765582644982,0.6326292123792526,0.6433905534114235,0.6119838633938686
$A_{7}$,0.6010307789534741,0.6308743813763025,0.6173895327537012,0.640543866292587,0.6211621040982551
$A_{8}$,0.38577442922744476,0.39513755678158835,0.3732850311503066,0.40344606924071447,0.3945765824171511
$A_{9}$,0.5276960663302526,0.5526228616611705,0.5631438134197067,0.5458778181819438,0.5370332114260308
$A_{10}$,0.5747541226375279,0.5873341719774472,0.5883744872397286,0.5881449442949875,0.5917703056611949
$A_{11}$,0.36059977266885596,0.3432462280138455,0.32778355105277357,0.3554930617861991,0.3581575729517412
$A_{12}$,0.27601354992972355,0.3289030635803696,0.3430854682707978,0.39155179503037724,0.35645318601890175
$A_{13}$,0.2776618525840431,0.29718783764587087,0.2559828294532121,0.2275975223941612,0.2549159842822854
$A_{14}$,0.42978311738323793,0.46106233300214566,0.44695058039687846,0.48115413944129104,0.47159037040037444
$A_{15}$,0.5206103396259254,0.5130647431934823,0.4900510832895786,0.5010687118237745,0.5217584412740394
$A_{16}$,0.15661147957519583,0.1655611194675254,0.13150782376740566,0.3865285055107733,0.36636765547263384
$A_{17}$,0.5228770192902743,0.5455538829870019,0.5409784799815278,0.5374645360441661,0.5309214233250383
$A_{18}$,0.5221662271949234,0.5410549251141571,0.5151058320023574,0.5617560566798782,0.5513347566637311
$A_{19}$,0.3350565041280719,0.3403368518137439,0.3127161439154057,0.3433134438653805,0.3467955917717514
$A_{20}$,0.4078445467244302,0.4400374894265466,0.43412061894113174,0.43489677916877995,0.43596335945247805
$A_{21}$,0.2850142503804412,0.2722393586740323,0.2836272097964842,0.3280113025191053,0.3250780346832528
$A_{22}$,0.3896980865459708,0.4591511181744011,0.429817159802359,0.4375496639059177,0.4449280538914979
$A_{23}$,0.4230739546462065,0.40483255338358803,0.40067038534337646,0.44752511057248895,0.44238570408955497
$A_{24}$,0.9360201806203373,0.9541750435181416,0.9527862526942827,0.9329017695673955,0.9331804122484039
$A_{25}$,0.8266956254810198,0.8332665814134063,0.8314408209096813,0.7931916597200974,0.7917039679831543
$A_{26}$,0.5059061302737587,0.5192782063252813,0.5139559186304368,0.5161731922433653,0.5022638765204623
