Ai,2015,2016,2017,2018,2019
$A_{1}$,0.41578942429126853,0.5008240572316386,0.5357336645987486,0.5481887816116889,0.5131958481835613
$A_{2}$,0.13868082298816214,0.1482050177000868,0.1568465381489289,0.15743852613787818,0.2008424148828714
$A_{3}$,0.5391328331193977,0.6391089042800838,0.707028873970395,0.6813233635171964,0.6935286871203492
$A_{4}$,0.700331526786697,0.6702215158860346,0.6940005289612635,0.7012393271767539,0.672921133758887
$A_{5}$,0.5389344253485744,0.5375182297950446,0.5237899522397598,0.539006188487982,0.5441919483632847
$A_{6}$,0.609167349119712,0.6063990846861215,0.7028657353218879,0.6543662328502131,0.7048693978935465
$A_{7}$,0.6274907197246249,0.6209167353526869,0.6455772645715876,0.6707315693429625,0.6858887453895275
$A_{8}$,0.42415296174239925,0.4305123454519423,0.4383655769571269,0.4539609689070615,0.38752851430703905
$A_{9}$,0.6559505600647537,0.6382428907203072,0.5982869769990089,0.5824277151503562,0.5711680576887544
$A_{10}$,0.5161265396378376,0.498982214580763,0.5097081195516973,0.502145923778644,0.4957648808562474
$A_{11}$,0.4484929988846552,0.5135644507523509,0.5286695478331844,0.5454572040899563,0.5625221610286829
$A_{12}$,0.4517442782631305,0.5056808613992194,0.5122930543943103,0.551274012333664,0.5835051977724982
$A_{13}$,0.34613828746009173,0.43809443064518916,0.5226315526233346,0.4865971383335016,0.5549554835050703
$A_{14}$,0.40873430381949705,0.49012816814622434,0.43465843307139096,0.5282448760042814,0.5093873940787037
$A_{15}$,0.4411023599964183,0.5194059939249496,0.5751105960049852,0.5201746695252123,0.6145077300933628
$A_{16}$,0.6361100468228064,0.6775025986890018,0.7034286471741342,0.7177192183244084,0.7162830444901104
$A_{17}$,0.5450647142608317,0.532335456748583,0.5314066797943507,0.4887152022700212,0.49491419344495635
$A_{18}$,0.5657757410555498,0.6115409297926255,0.6387815790204151,0.6917857372475464,0.7047060860902506
$A_{19}$,0.5135403617198245,0.5311768191543771,0.5879286970143364,0.5885737832342,0.5691483777736166
$A_{20}$,0.46345107967898835,0.507029305408284,0.4989481182421757,0.49330604511765636,0.48824005723285574
$A_{21}$,0.359472666241766,0.36361858724153684,0.42710304331969173,0.4185176536348383,0.4551956921982945
$A_{22}$,0.4980978198537577,0.48684650926012824,0.5513773019217172,0.587035924354671,0.554144181547149
$A_{23}$,0.6509387096173144,0.7285449098267385,0.7533524883805546,0.8036263452721925,0.7683278652705866
$A_{24}$,0.5728745267538626,0.6323244514361125,0.6304875562343841,0.6343845016053884,0.6537849625130157
$A_{25}$,0.6522807103066197,0.619378852408849,0.6053476102820482,0.573606594810115,0.6237393206808826
$A_{26}$,0.5651460466782979,0.538039175257373,0.4678859151560854,0.43171581296498607,0.41084685969336815
